Year,Fresh Peaches Retail value 2, Marketing spread Actual,Marketing spread Portion of retail Percent,,Grower price Actual,Grower price Portion of retail Percent
1989,0.78,0.55,70.57,,0.23,29.43
1990,0.97,0.7,72.68,,0.26,27.32
1991,0.91,0.69,76.71,,0.21,23.29
1992,0.84,0.63,74.78,,0.21,25.22
1993,0.89,0.67,75.21,,0.22,24.79
1994,0.89,0.7,78.92,,0.19,21.08
1995,1.02,0.76,74.62,,0.26,25.38
1996,1.11,0.77,70.06,,0.33,29.94
1997,0.98,0.74,75.21,,0.24,24.79
1998,1.28,0.97,76.4,,0.3,23.6
1999,1.34,1.06,78.69,,0.29,21.31
2000,1.27,1,78.29,,0.28,21.71
2001,1.4,1.09,78.02,,0.31,21.98
2002,1.43,1.12,78.53,,0.31,21.47
2003,1.38,1.09,78.97,,0.29,21.03
2004,1.34,1.06,79.5,,0.27,20.5
2005,1.49,1.13,75.89,,0.36,24.11
2006,1.54,1.15,74.68,,0.39,25.32
2007,1.47,1.146,77.98,,0.32,22.02
2008,1.54,1.247,80.81,,0.3,19.19
2009,1.53,1.172,76.43,,0.36,23.57
2010,1.65,1.315,79.88,,0.33,20.12
2011,1.54,1.155,74.82,,0.39,25.18
2012,1.62,1.148,70.67,,0.48,29.33
2013,1.57,,,,,
2014,1.83,1.266,69.36,,0.56,30.64
2015,1.7,1.159,68.16,,0.54,31.84
2016,1.68,1.091,65.12,,0.58,34.88
2017,1.9,1.211,63.79,,0.69,36.21
2018,1.95,1.417,72.51,,0.54,27.49
