Year, Fresh pears Retail value 2,Marketing spread Actual,Marketing spread Portion of retail Percent,,Grower price Actual,Grower price Portion of retail Percent
1989,0.70       ,0.52       ,74.64       ,,0.18       ,25.36       
1990,0.72       ,0.54       ,74.46       ,,0.19       ,25.54       
1991,0.80       ,0.59       ,73.67       ,,0.21       ,26.33       
1992,0.78       ,0.60       ,76.00       ,,0.19       ,24.00       
1993,0.82       ,0.62       ,75.82       ,,0.20       ,24.18       
1994,0.75       ,0.64       ,85.77       ,,0.11       ,14.23       
1995,0.74       ,0.55       ,75.03       ,,0.18       ,24.97       
1996,0.87       ,0.65       ,75.27       ,,0.22       ,24.73       
1997,0.94       ,0.77       ,82.43       ,,0.16       ,17.57       
1998,0.89       ,0.70       ,78.85       ,,0.19       ,21.15       
1999,0.90       ,0.71       ,78.50       ,,0.19       ,21.50       
2000,0.94       ,0.78       ,82.87       ,,0.16       ,17.13       
2001,0.92       ,0.75       ,81.80       ,,0.17       ,18.20       
2002,0.95       ,0.77       ,80.94       ,,0.18       ,20.14       
2003,                  na,                   na,                  na,,                   na,                   na
2004,                  na,                   na,                  na,,                   na,                   na
2005,1.06       ,0.81       ,76.76       ,,0.25       ,23.24       
2006,1.08       ,0.85       ,78.55       ,,0.23       ,21.45       
2007,1.21       ,0.95       ,78.33       ,,0.26       ,21.67       
2008,1.26       ,0.99       ,78.27       ,,0.28       ,21.73       
2009,1.27       ,1.02       ,81.95       ,,0.22       ,18.05       
2010,1.24       ,0.92       ,75.41       ,,0.30       ,24.59       
2011,1.34       ,1.11       ,83.11       ,,0.23       ,16.89       
2012,1.19       ,0.84       ,70.75       ,,0.35       ,29.25       
2013,                  na,                   na,                  na,,                   na,                   na
2014,                  na,                   na,                  na,,0.33       ,                   na
2015,                  na,                   na,                  na,,0.38       ,                   na
2016,1.59       ,1.18       ,74.45       ,,0.41       ,25.55       
2017,1.52       ,1.14       ,74.83       ,,0.38       ,25.17       
2018,1.50       ,1.14       ,75.84       ,,0.36       ,24.16       
