Year, Fresh grapes Retail value,Marketing spread Actual,Marketing spread Portion of retail Percent,,Grower price Actual,Grower price Portion of retail Percent
1995,1.41,1.09,77.06,,0.32,22.94
1996,1.53,1.13,73.36,,0.41,26.64
1997,1.56,1.23,78.86,,0.33,21.14
1998,1.45,1.14,79,,0.3,21
1999,1.68,1.31,77.95,,0.37,22.05
2000,1.59,1.25,78.4,,0.34,21.6
2001,1.68,1.31,77.68,,0.38,22.32
2002,1.72,1.34,78.22,,0.37,21.78
2003,1.73,1.36,78.59,,0.37,21.41
2004,1.87,1.42,75.98,,0.45,24.02
2005,1.89,1.57,83.25,,0.32,16.75
2006,2.04,1.45,70.96,,0.59,29.04
2007,1.9,1.42,74.67,,0.48,25.33
2008,2.01,1.78,88.48,,0.23,11.52
2009,1.92,1.52,79.26,,0.4,20.74
2010,1.98,1.72,86.9,,0.26,13.1
2011,2.17,1.63,75.22,,0.54,24.78
2012,2.26,1.49,65.71,,0.78,34.29
2013,2.27,,,,,
2014,2.4,1.62,67.29,,0.79,32.71
2015,2.36,1.44,60.99,,0.92,39.01
2016,2.51,1.73,68.79,,0.78,31.21
2017,2.4,1.64,68.13,,0.77,31.87
2018,2.35,1.64,69.86,,0.71,30.14
