Year, Fresh oranges Retail value,Marketing spread Actual,Marketing spread Portion of retail Percent,,Grower price Actual,Grower price Portion of retail Percent
1989/90,0.55       ,0.44       ,79.89       ,,0.11       ,20.11       
1990/91,0.83       ,0.50       ,60.42       ,,0.33       ,39.58       
1991/92,0.58       ,0.47       ,81.13       ,,0.11       ,18.87       
1992/93,0.56       ,0.44       ,78.74       ,,0.12       ,21.26       
1993/94,0.56       ,0.45       ,80.47       ,,0.11       ,19.53       
1994/95,0.59       ,0.48       ,80.04       ,,0.12       ,19.96       
1995/96,0.64       ,0.50       ,77.80       ,,0.14       ,22.20       
1996/97,0.60       ,0.48       ,79.90       ,,0.12       ,20.10       
1997/98,0.59       ,0.48       ,81.88       ,,0.11       ,18.12       
1998/99,0.84       ,0.61       ,71.65       ,,0.24       ,28.35       
1999/2000,0.64       ,0.56       ,87.99       ,,0.08       ,12.01       
2000/01,0.60       ,0.49       ,81.31       ,,0.11       ,18.69       
2001/02,0.66       ,0.53       ,80.67       ,,0.13       ,19.33       
2002/03,0.68       ,0.59       ,86.87       ,,0.09       ,13.13       
2003/04,0.77       ,0.62       ,80.13       ,,0.15       ,19.87       
2004/05,0.94       ,0.79       ,83.75       ,,0.15       ,16.25       
2005/06,1.05       ,0.92       ,88.17       ,,0.12       ,11.83       
2006/07 ,1.26       ,1.10       ,87.42       ,,0.16       ,12.58       
2007/08,1.08       ,0.96       ,88.63       ,,0.12       ,11.37       
2008/09 ,1.05       ,0.91       ,86.19       ,,0.15       ,13.81       
2009/10 ,1.02       ,0.86       ,84.93       ,,0.15       ,15.07       
2010/11 ,1.07       ,0.93       ,87.20       ,,0.14       ,12.80       
2011/12,1.02       ,0.87       ,84.77       ,,0.16       ,15.23       
2012/13,1.10       ,0.94       ,85.58       ,,0.16       ,14.42       
2013/14,1.26       ,1.01       ,80.69       ,,0.24       ,19.31       
2014/15,1.27       ,1.05       ,82.96       ,,0.22       ,17.04       
2015/16,1.22       ,1.03       ,84.48       ,,0.19       ,15.52       
2016/17,1.27       ,1.00       ,78.90       ,,0.27       ,21.10       
2017/18,1.37       ,1.04       ,76.11       ,,0.33       ,23.89       
2018/19,1.34       ,1.13       ,84.41       ,,0.21       ,15.59       
