Year, Fresh grapefruit Retail value,Marketing spread Actual,Marketing spread Portion of retail Percent,,Grower price Actual,Grower price Portion of retail Percent
1989/90,0.64       ,0.50       ,78.19       ,,0.14       ,21.81       
1990/91,0.60       ,0.49       ,81.44       ,,0.11       ,18.56       
1991/92,0.57       ,0.47       ,82.97       ,,0.10       ,17.03       
1992/93,0.53       ,0.46       ,86.42       ,,0.07       ,13.58       
1993/94,0.51       ,0.43       ,84.20       ,,0.08       ,15.80       
1994/95,0.51       ,0.44       ,86.16       ,,0.07       ,13.84       
1995/96,0.54       ,0.47       ,87.45       ,,0.07       ,12.55       
1996/97,0.56       ,0.49       ,87.32       ,,0.07       ,12.68       
1997/98,0.56       ,0.48       ,85.43       ,,0.08       ,14.57       
1998/99,0.63       ,0.52       ,83.37       ,,0.10       ,16.63       
1999/2000,0.60       ,0.52       ,85.95       ,,0.08       ,14.05       
2000/01,0.62       ,0.54       ,87.88       ,,0.07       ,12.12       
2001/02,0.63       ,0.55       ,87.10       ,,0.08       ,12.90       
2002/03,0.67       ,0.57       ,85.34       ,,0.10       ,14.66       
2003/04,0.74       ,0.67       ,90.35       ,,0.07       ,9.65       
2004/05,0.99       ,0.77       ,77.29       ,,0.23       ,22.71       
2005/06,1.09       ,0.90       ,82.87       ,,0.19       ,17.13       
2006/07,0.97       ,0.83       ,85.59       ,,0.14       ,14.41       
2007/08  ,0.94       ,0.83       ,88.13       ,,0.11       ,11.87       
2008/09,0.88       ,0.79       ,89.39       ,,0.09       ,10.61       
2009/10,0.90       ,0.78       ,86.42       ,,0.12       ,13.58       
2010/11,0.94       ,0.83       ,87.77       ,,0.12       ,12.23       
2011/12,0.99       ,0.85       ,86.09       ,,0.14       ,13.91       
2012/13,1.04       ,0.92       ,89.01       ,,0.11       ,10.99       
2013/14,1.05       ,0.92       ,87.64       ,,0.13       ,12.36       
2014/15,1.08       ,0.94       ,86.64       ,,0.14       ,13.36       
2015/16,1.10       ,0.91       ,82.82       ,,0.19       ,17.18       
2016/17,1.21       ,0.99       ,82.22       ,,0.21       ,17.78       
2017/18,1.30       ,1.03       ,78.87       ,,0.28       ,21.13       
2018/19,1.32       ,1.06       ,80.48       ,,0.26       ,19.52       
