Year, Fresh lemons Retail value,Marketing spread Actual,Marketing spread Portion of retail Percent,,Grower price Actual,Grower price Portion of retail Percent
1989/90,0.96       ,0.72       ,75.30       ,,0.236       ,24.70       
1990/91,1.03       ,0.78       ,75.17       ,,0.256       ,24.83       
1991/92,1.18       ,0.95       ,80.98       ,,0.224       ,19.02       
1992/93,0.97       ,0.79       ,81.52       ,,0.179       ,18.48       
1993/94,1.04       ,0.83       ,79.77       ,,0.210       ,20.23       
1994/95,1.06       ,0.83       ,78.38       ,,0.230       ,21.62       
1995/96,1.09       ,0.88       ,80.52       ,,0.212       ,19.48       
1996/97,1.07       ,0.83       ,77.86       ,,0.237       ,22.14       
1997/98,1.20       ,0.97       ,80.74       ,,0.232       ,19.26       
1998/99,1.15       ,0.91       ,78.87       ,,0.243       ,21.13       
1999/2000,1.32       ,1.08       ,82.01       ,,0.237       ,17.99       
2000/01,1.16       ,0.99       ,85.12       ,,0.173       ,14.88       
2001/02,1.28       ,1.04       ,80.70       ,,0.248       ,19.30       
2002/03,1.33       ,1.12       ,84.40       ,,0.208       ,15.60       
2003/04,1.20       ,1.01       ,84.26       ,,0.189       ,15.74       
2004/05,1.29       ,1.04       ,80.92       ,,0.245       ,19.08       
2005/06,1.39       ,1.16       ,83.32       ,,0.232       ,16.68       
2006/07,1.68       ,1.26       ,75.12       ,,0.417       ,24.88       
2007/08,1.91       ,1.31       ,68.82       ,,0.596       ,31.18       
2008/09,1.60       ,1.37       ,85.48       ,,0.233       ,14.52       
2009/10,1.55       ,1.23       ,79.77       ,,0.313       ,20.23       
2010/11,1.55       ,1.31       ,84.34       ,,0.242       ,15.66       
2011/12,1.50       ,1.25       ,82.93       ,,0.257       ,17.07       
2012/13,1.48       ,1.24       ,83.88       ,,0.239       ,16.12       
2013/14,1.68       ,1.26       ,74.78       ,,0.425       ,25.22       
2014/15,1.96       ,1.47       ,75.37       ,,0.482       ,24.63       
2015/16,1.96       ,1.51       ,76.92       ,,0.453       ,23.08       
2016/17,1.93       ,1.47       ,76.35       ,,0.456       ,23.65       
2017/18,1.99       ,1.55       ,78.18       ,,0.434       ,21.82       
2018/19,2.23       ,1.82       ,81.97       ,,0.401       ,18.03       
