State,Oranges,Grapefruit 1,Lemons,Tangerines & mandarins 2,Total citrus fruit,Apples,Apricots,Avocados,Bananas,Blackberries,Blueberries,Boysenberries,Raspberries,Sweet cherries,Tart cherries,Cranberries,Dates,Figs,Grapes,Kiwifruit,Nectarines,Olives,Papayas,Peaches,Pears,Prunes & Plums,Strawberries,Total noncitrus fruit,Almonds,Hazelnuts,Macadamia,Pecans,Pistachios,Walnuts,Total tree nuts,Total fruit & tree nuts,Share of U.S. fruit & tree nuts
 Alabama , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,, - , - , - , - , - , - , - ," 2,366 ", - , - ," 2,366 "," 2,366 ", 0.0 
 Arizona , - , - ," 34,197 ", - ," 34,197 ", - , - , - , - , - , - , - , - , - , - , - ," 66,066 ", - , - , - , - , - , - , - , - , - , - ," 66,066 ", - , - , - ," 52,173 ", - , - ," 52,173 "," 152,436 ", 0.5 
 Arkansas , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , -  
 California ," 1,093,052 "," 69,690 "," 681,564 "," 556,024 "," 2,400,330 "," 71,000 "," 31,570 "," 383,485 ", - , - ," 139,755 ", - ," 331,088 "," 140,395 ", - , - ," 86,109 ",," 6,254,211 "," 32,886 "," 104,626 "," 40,523 ", - ," 304,213 "," 77,344 "," 287,402 "," 2,340,315 "," 10,624,922 "," 5,468,040 ", - , - ," 7,400 "," 2,615,550 "," 878,800 "," 8,969,790 "," 21,995,042 ", 75.0 
 Colorado , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ," 28,140 ", - , - , - ," 28,140 ", - , - , - , - , - , - , - ," 28,140 ", 0.1 
 Connecticut , - , - , - , - , - ,, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , -  
 Florida ," 701,855 "," 73,200 ", - ," 19,952 "," 795,007 ", - , - ," 15,278 ", - , - ," 60,404 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ," 281,750 "," 357,432 ", - , - , - , - , - , - , - ," 1,152,439 ", 3.9 
 Georgia , - , - , - , - , - , - , - , - , - , - ," 87,258 ", - , - , - , - , - , - , - , - , - , - , - , - ," 23,868 ", - , - , - ," 111,126 ", - , - , - ," 113,400 ", - , - ," 113,400 "," 224,526 ", 0.8 
 Hawaii 4, - , - , - , - , - , - , - ," 1,591 ",, - , - , - , - , - , - , - , - , - , - , - , - , - ," 5,702 ", - , - , - , - ," 7,293 ", - , - ," 42,007 ", - , - , - ," 42,007 "," 99,460 ", 0.3 
 Idaho , - , - , - , - , - ,, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,, - , - , - , - , - , - , - , - , - , - , - , - , -  
 Illinois , - , - , - , - , - ,, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,, - , - , - , - , - , - , - , - , - , - , - , - , -  
 Indiana , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , -  
 Iowa , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , -  
 Kansas , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , -  
 Kentucky , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , -  
 Louisiana , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ," 5,954 ", - , - ," 5,954 "," 5,954 ", 0.0 
 Maine , - , - , - , - , - ,, - , - , - , - ," 23,155 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ," 23,155 ", - , - , - , - , - , - , - ," 23,155 ", 0.1 
 Maryland , - , - , - , - , - ,, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,, - , - , - , - , - , - , - , - , - , - , - , - , -  
 Massachusetts , - , - , - , - , - ,, - , - , - , - , - , - , - , - , - ," 49,956 ", - , - , - , - , - , - , - , - , - , - , - ," 49,956 ", - , - , - , - , - , - , - ," 49,956 ", 0.2 
 Michigan , - , - , - , - , - ," 294,420 ", - , - , - , - ," 70,226 ", - , - ,," 37,936 ", - , - , - ,, - , - , - , - ," 12,642 ", - , - , - ," 415,224 ", - , - , - , - , - , - , - ," 415,224 ", 1.4 
 Minnesota , - , - , - , - , - ,, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , -  
