Year,Apples,Peaches,Pears,Grapes,Sweet,Tart,Prunes and plums,Apricots,Figs,Oranges 1,    Tangerines  1,Grapefruit 1,Lemons 1,Limes 1,Tangelos 1,Temples 1,Strawberries,Pineapples,Avocados,Nectarines,Cranberries,Bananas,Kiwifruit,Dates,Papayas,Pomegranates,Mangoes 2,Total
1980,412.2  ,194.2  ,81.0  ,698.6  ,47.0  ,42.0  ,111.5   ,24.8  ,14.3   ,806.0  ,26.9   ,199.9   ,75.2   ,4.7  ,17.3,18.2,36.1,43,67.1,18.4,23.2,0.6,1.6,4,2,3.1,1.5,2974.4
1981,414.9  ,188.3  ,76.1  ,694.4  ,45.9  ,40.8  ,107.4   ,23.3  ,14.8   ,794.6  ,26.6   ,197.0   ,76.9   ,5.3  ,16.8,17.7,37,41,73,21,23.2,0.7,3,4.1,2.1,3.3,1.5,2950.7
1982,418.3  ,188.6  ,74.4  ,719.5  ,44.8  ,40.3  ,109.6   ,22.5  ,14.7   ,777.7  ,32.4   ,199.1   ,75.8   ,6.4  ,16.1,16.8,40.3,36,78,22.2,23.35,0.7,3.4,4.1,2.2,3.3,1.5,2972.04
1983,424.5  ,190.4  ,70.7  ,746.3  ,44.4  ,40.9  ,112.3   ,21.8  ,15.8   ,750.8  ,31.3   ,199.3   ,71.5   ,7.3  ,15.6,15.8,43.3,35,83,23.1,24.1,0.9,3.1,4.2,2.1,3.8,1.5,2982.8
1984,422.9  ,194.3  ,69.1  ,770.0  ,44.5  ,43.7  ,113.9   ,20.9  ,17.3   ,688.2  ,25.5   ,191.6   ,69.8   ,7.0  ,12.3,13.5,43.3,35,84,24.5,24.6,0.9,3.8,4.3,2.6,3.4,1.7,2932.59
1985,430.7  ,193.1  ,68.6  ,782.2  ,44.8  ,45.7  ,117.5   ,20.0  ,17.8   ,617.7  ,23.2   ,162.8   ,66.6   ,6.7  ,10.1,12.2,44.1,34.5,85.2,22.4,25.7,0.8,4.8,4.4,2.7,3.5,1.8,2849.64
1986,442.4  ,191.0  ,67.6  ,770.6  ,45.4  ,48.2  ,120.1   ,19.6  ,18.0   ,561.5  ,20.6   ,145.2   ,65.3   ,6.8  ,9.5,10,44.4,36,86.3,22.8,26.3,1,5.6,4.5,2.4,3.5,2.1,2776.7
1987,452.3  ,190.1  ,68.7  ,763.7  ,46.6  ,50.1  ,124.9   ,19.2  ,18.1   ,569.5  ,19.3   ,147.9   ,63.9   ,6.7  ,9.5,9.4,46.1,36.1,86.1,23.6,26.7,1.1,6.8,4.9,2.4,3.4,2.2,2799.18
1988,447.9  ,182.4  ,68.9  ,760.8  ,47.5  ,49.2  ,129.2   ,19.2  ,17.7   ,574.5  ,19.5   ,148.7   ,64.5   ,7.0  ,9.4,9.3,47.2,34.6,86.4,25.3,27.3,1.1,7.1,5.1,2.3,3.5,2.4,2797.935
1989,450.4  ,182.7  ,69.4  ,745.0  ,46.9  ,49.2  ,127.4   ,18.7  ,16.9   ,588.7  ,19.3   ,150.2   ,63.9   ,6.6  ,9.5,9.3,46.1,32.7,85.9,24.4,27.6,1,7.2,5,2.5,3.1,2.5,2792.08
1990,451.5  ,180.0  ,69.3  ,739.9  ,45.9  ,48.7  ,130.4   ,18.4  ,16.7   ,597.8  ,19.8   ,147.3   ,63.3   ,6.7  ,8.9,8,46.08,30.9,83.45,25.5,27.8,0.9,7.3,5,2.4,,2.5,2784.3
1991,449.2  ,178.3  ,69.8  ,735.9  ,45.0  ,48.1  ,130.4   ,18.8  ,16.0   ,612.7  ,20.0   ,133.2   ,62.1   ,6.2  ,8,7.7,46.08,28.4,82.38,26.4,28.4,0.89,7.3,5.2,2.025,,2.5,2770.925
