Year,Apples,Peaches,Pears,Grapes,Cherries Sweet,Cherries Tart,Prunes and plums,Apricots,Figs,Oranges 1,     Tangerines  1,Grapefruit 1,Lemons 1,Limes 1,Year,Tangelos 1,Temples 1,Strawberries,Pineapples 2,Avocados,Nectarines,Cranberries,Bananas 2,Kiwifruit,Dates,Papayas 2,Pomegranates,Mangoes 3,Total
1980,"4,409  ","1,534  ",897  ,"5,595  ",174   ,109   ,405   ,129   ,45   ,"11,832  ",275  ,"2,986  ",789  ,44  ,1980,288  ,270  ,351  ,657  ,269   ,191   ,135   ,2   ,5   ,22  ,37  ,17  ,7  ,"31,474  "
1981,"3,870  ","1,385  ",897  ,"4,458  ",155   ,67   ,765   ,89   ,38   ,"10,487  ",239  ,"2,759  ","1,189  ",48  ,1981,221  ,162  ,371  ,636  ,183   ,182   ,130   ,3   ,7   ,22  ,47  ,17  ,7  ,"28,434  "
1982,"4,061  ","1,143  ",802  ,"6,555  ",157   ,155   ,573   ,118   ,38   ,"7,600  ",288  ,"2,878  ",942  ,58  ,1982,229  ,144  ,442  ,670  ,237   ,178   ,152   ,3   ,16   ,24  ,26  ,16  ,6  ,"27,511  "
1983,"4,189  ",928  ,774  ,"5,521  ",181   ,77   ,674   ,93   ,34   ,"9,519  ",291  ,"2,465  ",950  ,75  ,1983,171  ,211  ,447  ,722  ,274   ,185   ,149   ,2   ,14   ,17  ,31  ,20  ,10  ,"28,024  "
1984,"4,162  ","1,330  ",708  ,"5,208  ",182   ,136   ,721   ,127   ,37   ,"7,243  ",262  ,"2,184  ",788  ,63  ,1984,162  ,130  ,495  ,600  ,230   ,183   ,166   ,5   ,18   ,22  ,40  ,20  ,12  ,"25,234  "
1985,"3,957  ","1,074  ",745  ,"5,616  ",133   ,143   ,648   ,131   ,33   ,"6,719  ",193  ,"2,266  ",967  ,72  ,1985,162  ,146  ,509  ,565  ,189   ,210   ,174   ,4   ,22   ,29  ,30  ,19  ,12  ,"24,768  "
1986,"3,930  ","1,153  ",767  ,"5,228  ",138   ,112   ,491   ,55   ,50   ,"7,476  ",196  ,"2,352  ",692  ,76  ,1986,133  ,133  ,510  ,646  ,303   ,172   ,185   ,5   ,24   ,18  ,31  ,22  ,11  ,"24,909  "
1987,"5,371  ","1,191  ",938  ,"5,267  ",215   ,180   ,977   ,114   ,52   ,"7,697  ",228  ,"2,586  ","1,087  ",63  ,1987,180  ,153  ,571  ,692  ,209   ,191   ,170   ,6   ,29   ,19  ,34  ,19  ,15  ,"28,253  "
1988,"4,560  ","1,311  ",860  ,"6,034  ",186   ,118   ,739   ,102   ,56   ,"8,551  ",218  ,"2,801  ",785  ,57  ,1988,189  ,160  ,590  ,659  ,193   ,217   ,204   ,7   ,33   ,22  ,35  ,20  ,10  ,"28,716  "
1989,"4,958  ","1,182  ",916  ,"5,931  ",193   ,132   ,"1,018   ",120   ,48   ,"8,949  ",239  ,"2,844  ",759  ,55  ,1989,171  ,169  ,572  ,580  ,139   ,220   ,187   ,6   ,40   ,22  ,37  ,19  ,11  ,"29,517  "
1990,"4,828  ","1,121  ",962  ,"5,660  ",157   ,104   ,734   ,122   ,50   ,"7,745  ",164  ,"1,978  ",706  ,72  ,1990,132  ,63  ,628  ,575  ,156   ,232   ,170   ,6   ,39   ,24  ,34  ,,10  ,"26,472  "
1991,"4,853  ","1,348  ",903  ,"5,556  ",149   ,95   ,831   ,96   ,45   ,"7,848  ",166  ,"2,256  ",719  ,64  ,1991,119  ,113  ,683  ,555  ,185   ,215   ,211   ,6   ,30   ,22  ,28  ,,14  ,"27,110  "
1992,"5,284  ","1,336  ",923  ,"6,052  ",205   ,168   ,829   ,106   ,47   ,"8,909  ",260  ,"2,224  ",766  ,70  ,1992,117  ,106  ,668  ,550  ,292   ,236   ,208   ,6   ,52   ,21  ,36  ,,11  ,"29,482  "
1993,"5,343  ","1,322  ",948  ,"6,023  ",168   ,170   ,588   ,97   ,61   ,"10,992  ",247  ,"2,791  ",942  ,44  ,1993,137  ,113  ,723  ,370  ,144   ,205   ,196   ,6   ,49   ,29  ,32  ,,1  ,"31,741  "
1994,"5,750  ","1,255  ","1,046  ","5,873  ",207   ,152   ,879   ,153   ,57   ,"10,329  ",318  ,"2,661  ",984  ,9  ,1994,150  ,101  ,825  ,365  ,175   ,242   ,234   ,7   ,39   ,23  ,31  ,,3  ,"31,869  "
1995,"5,289  ","1,145  ",948  ,"5,922  ",165   ,198   ,744   ,61   ,52   ,"11,432  ",287  ,"2,912  ",897  ,10  ,1995,142  ,114  ,804  ,345  ,190   ,176   ,210   ,7   ,38   ,23  ,25  ,,4  ,"32,140  "
1996,"5,191  ","1,052  ",821  ,"5,554  ",154   ,136   ,952   ,79   ,46   ,"11,426  ",349  ,"2,718  ",992  ,14  ,1996,110  ,97  ,813  ,347  ,191   ,247   ,234   ,7   ,32   ,23  ,21  ,,3  ,"31,607  "
1997,"5,162  ","1,312  ","1,043  ","7,291  ",226   ,146   ,926   ,139   ,58   ,"12,692  ",425  ,"2,885  ",962  ,14  ,1997,178  ,108  ,814  ,324  ,178   ,264   ,275   ,7   ,35   ,21  ,19  ,,3  ,"35,507  "
1998,"5,823  ","1,190  ",990  ,"5,820  ",197   ,174   ,559   ,118   ,52   ,"13,670  ",360  ,"2,593  ",897  ,19  ,1998,128  ,101  ,819  ,332  ,159   ,224   ,272   ,11   ,37   ,25  ,20  ,,,"34,589  "
1999,"5,316  ","1,252  ","1,044  ","6,236  ",216   ,128   ,735   ,91   ,47   ,"9,824  ",327  ,"2,513  ",747  ,22  ,1999,115  ,81  ,916  ,352  ,183   ,274   ,318   ,12   ,27   ,22  ,21  ,,,"30,819  "
2000,"5,290  ","1,276  ",993  ,"7,688  ",208   ,144   ,902   ,97   ,56   ,"12,997  ",458  ,"2,763  ",840  ,26  ,2000,99  ,88  ,950  ,354  ,239   ,267   ,286   ,15   ,34   ,17  ,27  ,,,"36,115  "
2001,"4,712  ","1,204  ","1,027  ","6,569  ",230   ,185   ,651   ,82   ,41   ,"12,221  ",373  ,"2,462  ",996  ,11  ,2001,95  ,56  ,826  ,323  ,223   ,275   ,267   ,14   ,26   ,20  ,28  ,,,"32,916  "
2002,"4,262  ","1,268  ",890  ,"7,339  ",181   ,31   ,736   ,90   ,53   ,"12,374  ",420  ,"2,424  ",801  ,7  ,2002,97  ,70  ,942  ,320  ,199   ,300   ,285   ,10   ,26   ,24  ,23  ,,,"33,173  "
2003,"4,390  ","1,260  ",934  ,"6,644  ",246   ,113   ,803   ,98   ,49   ,"11,545  ",382  ,"2,063  ","1,026  ",,2003,105  ,59  ,"1,078  ",300  ,233   ,273   ,310   ,11   ,25   ,18  ,21  ,,,"31,985  "
2004,"5,206  ","1,307  ",878  ,"6,240  ",283   ,107   ,325   ,101   ,51   ,"12,872  ",417  ,"2,165  ",798  ,,2004,45  ,63  ,"1,107  ",220  ,179   ,269   ,309   ,8   ,27   ,17  ,18  ,,,"33,012  "
2005,"4,834  ","1,185  ",823  ,"7,814  ",251   ,135   ,476   ,82   ,49   ,"9,251  ",335  ,"1,018  ",870  ,,2005,70  ,29  ,"1,161  ",212  ,312   ,251   ,312   ,11   ,36   ,17  ,17  ,,,"29,549  "
2006,"4,912  ","1,010  ",842  ,"6,378  ",294   ,131   ,813   ,45   ,43   ,"9,020  ",417  ,"1,232  ",980  ,,2006,63  ,32  ,"1,202  ",185  ,147   ,232   ,345   ,11   ,26   ,18  ,14  ,,,"28,390  "
2007,"4,545  ","1,127  ",873  ,"7,057  ",311   ,127   ,405   ,88   ,48   ,"7,625  ",361  ,"1,627  ",798  ,,2007,56  ,,"1,223  ",,193   ,283   ,328   ,13   ,25   ,16  ,17  ,,,"27,144  "
2008,"4,812  ","1,135  ",870  ,"7,279  ",248   ,107   ,544   ,82   ,43   ,"10,076  ",527  ,"1,548  ",619  ,,2008,68  ,,"1,266  ",,116   ,303   ,393   ,9   ,23   ,21  ,17  ,,,"30,105  "
2009,"4,844  ","1,104  ",957  ,"7,268  ",443   ,180   ,627   ,69   ,44   ,"9,128  ",443  ,"1,304  ",912  ,,2009,52  ,,"1,401  ",,299   ,220   ,346   ,9   ,26   ,24  ,16  ,,,"29,712  "
2010,"4,641  ","1,149  ",814  ,"7,432  ",313   ,95   ,544   ,66   ,41   ,"8,243  ",596  ,"1,238  ",882  ,,2010,41  ,,"1,426  ",,174   ,233   ,340   ,9   ,33   ,29  ,15  ,,,"28,356  "
2011,"4,720  ","1,071  ",966  ,"7,409  ",334   ,116   ,617   ,67   ,39   ,"8,905  ",657  ,"1,264  ",920  ,,2011,52  ,,"1,451  ",,263   ,225   ,386   ,9   ,38   ,33  ,14  ,,,"29,555  "
2012 ,"4,496  ",968  ,851  ,"7,531  ",424   ,43   ,564   ,61   ,35   ,"8,982  ",644  ,"1,153  ",850  ,,2012,52  ,,"1,526  ",,         na,189   ,402   ,           na,30   ,31  ,            na,,,"28,832  "
2013 ,"5,262  ",905  ,877  ,"8,632  ",332   ,147   ,364   ,61   ,33   ,"8,268  ",682  ,"1,204  ",912  ,,2013,45  ,,"1,524  ",,183   ,162   ,448   ,7   ,28   ,31  ,12  ,,,"30,118  "
2014,"5,932  ",853  ,832  ,"7,884  ",364   ,152   ,452   ,65   ,33   ,"6,768  ",732  ,"1,047  ",824  ,,2014,40  ,,"1,512  ",,173   ,187   ,420   ,6   ,29   ,33  ,12  ,,,"28,348  "
