Year,Fresh apples Retail value 2, Marketing spread: Actual,Marketing spread: Portion of retail Percent,,Grower price: Actual,Grower price: Portion of retail Percent
1989,0.66,0.51,77.93,,0.15,22.07
1990,0.69,0.52,75.86,,0.17,24.14
1991,0.85,0.62,72.97,,0.23,27.03
1992,0.85,0.61,70.99,,0.25,29.01
1993,0.8,0.62,77.08,,0.18,22.92
1994,0.77,0.59,76.21,,0.18,23.79
1995,0.8,0.58,72.06,,0.22,27.94
1996,0.89,0.65,72.87,,0.24,27.13
1997,0.87,0.68,77.86,,0.19,22.14
1998,0.91,0.72,79.72,,0.18,20.28
1999,0.86,0.69,79.61,,0.18,20.39
2000,0.88,0.69,77.9,,0.19,22.1
2001,0.83,0.65,78.41,,0.18,21.59
2002,0.91,0.67,73.51,,0.24,26.49
2003,0.94,0.68,72.73,,0.26,27.27
2004,1,0.74,73.88,,0.26,26.12
2005,0.91,0.74,80.7,,0.18,19.3
2006,1.02,0.75,72.99,,0.28,27.01
2007,1.07,0.745,69.61,,0.33,30.39
2008,1.27,0.872,68.89,,0.39,31.11
2009,1.13,0.901,79.44,,0.23,20.56
2010,1.17,0.909,77.63,,0.26,22.37
2011,1.3,0.957,73.83,,0.34,26.17
2012,1.32,0.897,67.86,,0.42,32.14
2013,1.33,,,,,
2014,1.3,0.926,71.27,,0.37,28.73
2015,1.3,0.985,75.57,,0.32,24.43
2016,1.38,0.953,68.85,,0.43,31.15
2017,1.24,0.837,67.37,,0.4,32.63
2018,,,,,0.36,
