"Table E-13--U.S. watermelon:  Supply, utilization, and price, farm weight, 1970 to date ",,,,,,,,,,,,,,,,,,,,,,
,,,,Supply,,,,,,Utilization,,,,,      Season-average price,,,,,        Trade shares of: ,,
,, ,,,,,,,,,,       Per,,,   Current,,  Constant,,,,,
Year,,Production 1,,    Imports 2,,     Total,,   Exports 2,, Domestic,,     capita,,,    dollars 3,,    2009,,,Use,,Supply 
,,,,,,,,,,,,       use,,,,,  dollars 4,,,imported,,exported
,  ----------------------------------- Million pounds --------------------------------,,,,,,,,,,,     Pounds  ,,,    ---------- $/cwt ----------,,,,,      -------- Percent --------,,
,,,,,,,,,,,,,,,,,,,,,,
1970,,"2,737.3 ",,119.1 ,,"2,856.4 ",,91.2 ,,"2,765.2 ",,13.5 ,,,2.21 ,,9.69 ,,,4.3 ,,3.2
1971,,"2,709.4 ",,113.2 ,,"2,822.6 ",,114.7 ,,"2,707.9 ",,13.0 ,,,2.51 ,,10.47 ,,,4.2 ,,4.1
1972,,"2,528.0 ",,159.1 ,,"2,687.1 ",,103.0 ,,"2,584.1 ",,12.3 ,,,2.50 ,,10.00 ,,,6.2 ,,3.8
1973,,"2,617.0 ",,168.5 ,,"2,785.5 ",,86.3 ,,"2,699.2 ",,12.7 ,,,2.95 ,,11.19 ,,,6.2 ,,3.1
1974,,"2,346.6 ",,166.5 ,,"2,513.1 ",,92.9 ,,"2,420.2 ",,11.3 ,,,3.83 ,,13.33 ,,,6.9 ,,3.7
1975,,"2,439.5 ",,145.6 ,,"2,585.1 ",,114.7 ,,"2,470.4 ",,11.4 ,,,4.00 ,,12.74 ,,,5.9 ,,4.4
1976,,"2,645.9 ",,191.5 ,,"2,837.4 ",,84.3 ,,"2,753.1 ",,12.6 ,,,3.27 ,,9.87 ,,,7.0 ,,3.0
1977,,"2,688.5 ",,175.3 ,,"2,863.8 ",,84.7 ,,"2,779.1 ",,12.6 ,,,3.44 ,,9.78 ,,,6.3 ,,3.0
1978,,"2,527.0 ",,199.6 ,,"2,726.6 ",,79.9 ,,"2,646.7 ",,11.9 ,,,3.99 ,,10.60 ,,,7.5 ,,2.9
1979,,"2,407.6 ",,219.1 ,,"2,626.7 ",,61.9 ,,"2,564.8 ",,11.4 ,,,4.55 ,,11.17 ,,,8.5 ,,2.4
1980,,"2,271.6 ",,205.7 ,,"2,477.3 ",,51.9 ,,"2,425.4 ",,10.7 ,,,6.59 ,,14.83 ,,,8.5 ,,2.1
1981,,"2,612.8 ",,125.7 ,,"2,738.5 ",,58.8 ,,"2,679.7 ",,11.7 ,,,6.09 ,,12.54 ,,,4.7 ,,2.1
1982,,"2,733.9 ",,237.4 ,,"2,971.3 ",,73.9 ,,"2,897.4 ",,12.5 ,,,5.63 ,,10.91 ,,,8.2 ,,2.5
1983,,"2,534.0 ",,186.2 ,,"2,720.2 ",,69.5 ,,"2,650.7 ",,11.3 ,,,6.47 ,,12.07 ,,,7.0 ,,2.6
1984,,"3,190.5 ",,283.4 ,,"3,473.9 ",,65.3 ,,"3,408.6 ",,14.4 ,,,5.34 ,,9.62 ,,,8.3 ,,1.9
1985,,"3,043.8 ",,220.0 ,,"3,263.8 ",,44.5 ,,"3,219.3 ",,13.5 ,,,4.94 ,,8.62 ,,,6.8 ,,1.4
1986,,"2,929.6 ",,197.4 ,,"3,127.0 ",,58.2 ,,"3,068.8 ",,12.8 ,,,6.24 ,,10.67 ,,,6.4 ,,1.9
1987,,"2,893.1 ",,307.6 ,,"3,200.7 ",,48.1 ,,"3,152.6 ",,13.0 ,,,7.13 ,,11.89 ,,,9.8 ,,1.5
1988,,"3,115.5 ",,262.4 ,,"3,377.9 ",,59.0 ,,"3,318.9 ",,13.6 ,,,6.50 ,,10.48 ,,,7.9 ,,1.7
1989,,"3,094.9 ",,359.9 ,,"3,454.8 ",,85.2 ,,"3,369.6 ",,13.6 ,,,5.23 ,,8.11 ,,,10.7 ,,2.5
1990,,"3,187.1 ",,228.6 ,,"3,415.7 ",,94.4 ,,"3,321.3 ",,13.3 ,,,6.66 ,,9.96 ,,,6.9 ,,2.8
1991,,"3,097.4 ",,230.9 ,,"3,328.3 ",,101.8 ,,"3,226.5 ",,12.7 ,,,8.87 ,,12.84 ,,,7.2 ,,3.1
