"Table G-1--Fresh apples: Supply and utilization, 1980/81 to date",,,,,,,,
,Supply,,,,Utilization,,,
,,,,,,,,Per capita
 Season 1,Utilized production,Imports,Total supply,,Exports,,Domestic,use
,--------------- Million pounds ---------------,,,,,,,Pounds
,,,,,,,,
 1980/81,"4,934.1      ",177.2      ,"5,111.3      ",,697.4    ,,"4,395.3    ",19.20     
 1981/82,"4,442.2      ",149.7      ,"4,591.9      ",,682.7    ,,"3,894.8    ",16.85     
 1982/83,"4,536.7      ",197.5      ,"4,734.2      ",,629.7    ,,"4,091.9    ",17.54     
 1983/84,"4,620.5      ",233.5      ,"4,854.0      ",,544.2    ,,"4,300.3    ",18.27     
 1984/85,"4,654.6      ",241.9      ,"4,896.5      ",,528.3    ,,"4,358.3    ",18.35     
 1985/86,"4,221.7      ",314.6      ,"4,536.3      ",,390.2    ,,"4,136.2    ",17.26     
 1986/87,"4,463.6      ",310.2      ,"4,773.8      ",,445.7    ,,"4,314.0    ",17.84     
 1987/88,"5,610.1      ",262.8      ,"5,872.9      ",,780.7    ,,"5,081.9    ",20.83     
 1988/89,"5,230.3      ",256.3      ,"5,486.6      ",,602.5    ,,"4,884.1    ",19.84     
 1989/90,"5,822.3      ",228.0      ,"6,050.3      ",,773.9    ,,"5,276.3    ",21.22     
 1990/91,"5,515.0      ",229.7      ,"5,744.7      ",,818.0    ,,"4,926.7    ",19.58     
 1991/92,"5,447.0      ",303.0      ,"5,750.0      ",,"1,132.0    ",,"4,618.0    ",18.11     
 1992/93,"5,767.0      ",259.4      ,"6,026.4      ",,"1,082.2    ",,"4,944.2    ",19.14     
 1993/94,"6,124.6      ",238.9      ,"6,363.5      ",,"1,390.6    ",,"4,972.9    ",19.01     
 1994/95 ,"6,368.8      ",286.9      ,"6,655.7      ",,"1,526.7    ",,"5,129.0    ",19.37     
 1995/96,"5,840.2      ",383.4      ,"6,223.6      ",,"1,217.2    ",,"5,006.4    ",18.69     
 1996/97 ,"6,206.9      ",373.3      ,"6,580.2      ",,"1,518.3    ",,"5,061.9    ",18.67     
 1997/98   ,"5,814.5      ",356.4      ,"6,170.9      ",,"1,209.1    ",,"4,961.8    ",18.09     
 1998/99 ,"6,412.5      ",344.2      ,"6,756.7      ",,"1,487.8    ",,"5,268.9    ",18.98     
 1999/2000 ,"5,995.7      ",377.5      ,"6,373.2      ",,"1,175.2    ",,"5,198.1    ",18.50     
 2000/01 ,"6,265.5      ",358.9      ,"6,624.4      ",,"1,667.1    ",,"4,957.3    ",17.46     
 2001/02 ,"5,467.5      ",361.4      ,"5,828.9      ",,"1,353.1    ",,"4,475.8    ",15.61     
 2002/03,"5,366.0      ",412.4      ,"5,778.4      ",,"1,144.9    ",,"4,633.5    ",16.00     
 2003/04,"5,453.3      ",472.7      ,"5,926.0      ",,986.3    ,,"4,939.7    ",16.91     
 2004/05 ,"6,619.0      ",262.8      ,"6,881.8      ",,"1,339.0    ",,"5,542.8    ",18.79     
 2005/06 ,"6,096.9      ",348.8      ,"6,445.7      ",,"1,488.4    ",,"4,957.3    ",16.66     
 2006/07  ,"6,308.5      ",427.9      ,"6,736.4      ",,"1,407.3    ",,"5,329.1    ",17.73     
 2007/08  ,"6,077.3      ",381.2      ,"6,458.5      ",,"1,484.1    ",,"4,974.4    ",16.39     
 2008/09  ,"6,265.9      ",363.8      ,"6,629.7      ",,"1,767.6    ",,"4,862.1    ",15.88     
 2009/10  ,"6,296.4      ",401.8      ,"6,698.2      ",,"1,695.9    ",,"5,002.3    ",16.20     
 2010/11 ,"6,248.8      ",328.7      ,"6,577.5      ",,"1,823.1    ",,"4,754.3    ",15.31     
 2011/12  ,"6,312.9      ",381.1      ,"6,694.0      ",,"1,854.9    ",,"4,839.0    ",15.47     
 2012/13,"6,594.9      ",430.2      ,"7,025.1      ",,"1,969.2    ",,"5,055.9    ",16.05     
 2013/14  ,"6,918.7      ",470.0      ,"7,388.7      ",,"1,858.6    ",,"5,530.1    ",17.43     
 2014/15  ,"7,909.0      ",360.1      ,"8,269.1      ",,"2,286.2    ",,"5,983.0    ",18.71     
 2015/16  ,"6,928.1      ",414.6      ,"7,342.7      ",,"1,715.2    ",,"5,627.5    ",17.48     
 2016/17  ,"7,745.1      ",377.1      ,"8,122.2      ",,"1,912.5    ",,"6,209.6    ",19.15     
 2017/18  ,"7,815.8      ",296.1      ,"8,111.9      ",,"2,220.7    ",,"5,891.3    ",18.06     
 2018/19  ,"6,865.1      ",322.7      ,"7,187.8      ",,"1,636.4    ",,"5,551.4    ",16.91     
