Table G-45--Total U.S. population 1,,
      Year,1-Jan,1-Jul
,------- Millions -------,
,,
1980,226.451,227.726
1981,228.937,229.966
1982,231.157,232.188
1983,233.322,234.307
1984,235.385,236.348
1985,237.468,238.466
1986,239.638,240.651
1987,241.784,242.804
1988,243.981,245.021
1989,246.224,247.342
1990,248.659,249.973
1991,251.659,253.336
1992,255.007,256.677
1993,258.357,260.037
1994,261.632,263.226
1995,264.795,266.364
1996,267.925,269.485
1997,271.121,272.756
1998,274.356,275.955
1999,277.55,279.144
2000,280.976,282.385
2001,283.92,285.309
2002,286.788,288.105
2003,289.518,290.82
2004,292.192,293.463
2005,294.914,296.186
2006,297.647,298.996
2007,300.574,302.004
2008,303.506,304.798
2009,306.208,307.439
2010,308.833,309.746
2011,310.553,311.997
2012,312.82,314.211
2013,315.089,316.359
2014,317.318,318.662
2015,319.691,320.978
2016,321.983,323.291
2017,324.218,325.368
2018,326.218,327.404
