Crop,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"Apples, all",29.9,31.5,35.9,36.1,39.8,34.6,39.7,41.6,44.3,43.2,43.1,48.2,47.3,46.6,47.9,43.6,46.5,48.3,49.1,45.2,46.4,45.1,47.3,47.1,45.1,43.4,43.1,46.6,50.4,45.2,50.7,49.8,47.9,47.3,47.6,42.6,43.5,45.8,45.8,46.5,48.8,47.5,45.1
  Fresh,17.1,16.5,17.9,17.1,19.2,16.8,17.5,18.3,18.4,17.3,17.8,20.8,19.8,21.2,19.6,18.1,19.1,19,19.4,18.7,18.7,18.1,19,18.5,17.5,15.6,16,16.9,18.8,16.7,17.7,16.4,15.9,16.2,15.3,15.5,16,17.4,18.7,17.5,19.2,18.1,16.9
  Canning,4.3,4.9,5.5,5.9,5.3,4.4,5.4,5.1,5,5.3,4.9,5.4,5.7,5.3,5.5,5.1,5.8,5.1,5.3,4.9,4.9,5.6,4.4,4.8,4.4,4.6,4,4.5,4.5,4.2,4.21,3.96,4.61,4.18,3.98,4.17,3.16,4.82,4.33,4.3,4.56,4.45,4.03
  Freezing,0.8,0.7,1,0.7,0.8,0.7,0.8,0.7,0.9,0.8,1,1,1.1,1.3,1.1,1,1,1.1,1.1,1.2,1,1.3,0.9,0.9,0.8,0.9,0.7,1,0.7,0.8,0.8,0.9,0.7,0.8,0.6,0.7,0.3,0.8,0.8,0.7,0.4,0.4,0.5
  Juice,6.3,7.9,9.6,10.6,13,11.5,14.6,15.8,18.4,18.4,18.2,19.4,19.1,17.4,20.7,18.1,18.7,21.3,21.3,18.9,20.3,18.5,21.5,21.4,21.4,21.3,21.5,23.1,25.3,22.3,26.4,27.1,25,24.9,26.4,20.6,22.5,21.3,20.6,22.6,22.7,22.2,22
  Dried,1.1,1,1,1.1,0.8,0.8,0.9,1.2,1.3,1.2,0.8,1.2,1.2,1.1,0.8,0.8,1.2,1.4,1.5,1.2,1.2,0.9,1.2,1,0.8,0.8,0.8,0.6,0.7,0.7,1,0.9,0.9,0.6,0.7,0.6,0.9,0.6,0.7,0.7,1.2,1.3,0.9
  Other processed,0.3,0.5,0.8,0.6,0.7,0.4,0.5,0.4,0.4,0.3,0.4,0.3,0.3,0.2,0.3,0.4,0.6,0.3,0.5,0.3,0.2,0.7,0.3,0.4,0.3,0.2,0.2,0.4,0.4,0.5,0.6,0.5,0.8,0.6,0.7,1,0.6,0.8,0.8,0.8,0.8,1.1,0.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Grapes, all",40.6,37.9,41.3,42.2,47.2,41.2,51.2,44.6,48.2,50.5,47.6,44.9,49.4,46.2,43.2,42.9,45.4,44.4,40.9,45.7,43.1,52,44.5,45.7,49.7,44.9,50.7,46.6,47.4,56.1,49.4,51.8,50.2,52.7,51.8,51.9,55.6,58.5,54.5,52.6,54.5,55,47.2
  Fresh,3.5,3.5,3.1,3.4,4,4.1,5.7,5.6,6.1,6.8,7.1,7,7.7,7.9,7.8,7.3,7.1,7,7,7.5,6.7,7.8,7.2,8,7.4,7.4,8.4,7.7,7.8,8.6,7.6,8,8.3,7.7,7.9,7.4,7.6,7.8,7.7,7.9,8.1,8.2,8.1
  Canning,0.4,0.5,0.5,0.5,0.6,0.4,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1
  Juice,2.4,1.9,3.4,2.5,2.7,2.6,2.6,3.7,3.2,2.5,2.4,3.3,2.9,3.4,3.1,3.9,4.2,3.8,3.2,5,4.2,4.4,3,4.8,3.7,3.6,4,4.4,4.2,5.6,4.9,6.2,5,4.2,4.1,4.6,3.7,4.8,4.8,4,3.8,3.5,3.9
  Dried (raisins),9.6,6.2,5.3,6.7,8.5,6.5,8.7,7.8,8.7,9.4,8.3,8,10.8,8.8,8.3,8.5,6.8,8.5,8.1,8.8,7,6.9,8.1,7,7.1,6.5,7,6.6,6.4,7,7.4,6.8,6.9,6.3,6.2,6.6,6,6.7,6.6,7,6.1,5.9,
  Wine,24.6,25.7,29.1,28.9,31.5,27.6,33.9,27.3,30,31.3,29.4,26.2,27.6,25.8,23.6,23,26.9,24.7,22.3,24.2,24.9,32.6,25.9,25.7,31.2,27.2,31,27.8,28.9,34.7,29.4,30.7,29.9,34.5,33.4,33.1,38.1,39.2,35.3,33.5,36.3,37.3,35.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bananas, fresh",19.3,19.2,20.2,21,20.8,21.5,22.5,21.3,22.2,23.5,25.8,25,24.3,24.7,24.4,25,27.1,26.6,27.8,27.1,27.6,27.2,28,30.7,28.4,26.6,26.8,26.2,25.8,25.2,25.1,26,25,22,25.6,25.5,26.9,28,27.9,27.9,27.4,28.6,28.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oranges, all  ",102.1,110.6,91.8,86.1,95.3,95.2,86.7,106.1,92.1,90,95.9,90.8,86.3,86,67.1,81.9,76,88.2,84.8,81.3,90.6,88.6,97.1,85.4,91,87.1,84.3,83.1,84,80.6,73,65.5,62.6,63.5,61.4,63.1,54.3,56,53.7,51.5,51.4,47.3,48.4
  Fresh,14.7,13.4,13.4,11.5,14.3,12.4,11.7,15,11.9,11.6,13.4,12.8,13.9,12.2,12.4,8.4,12.8,14.1,12.9,11.8,12.6,13.9,14.61,8.4,11.7,11.9,11.7,11.9,10.8,11.4,10.2,7.5,9.9,9.1,9.7,10,10.5,10.4,9.4,8.7,9.2,8,8.2
  Juice 2,87.4,97.1,78.3,74.6,81,82.8,75,91,80.3,78.4,82.4,78,72.4,73.9,54.7,73.5,63.2,74,71.8,69.5,78,74.7,82.45,77,79.2,75.2,72.5,71.2,73.2,69.2,62.8,58,52.6,54.5,51.7,53.2,43.8,45.7,44.4,42.9,42.2,39.3,40.3
