Year,"Apples, all",  Fresh,  Canning,  Freezing,  Juice,  Dried,  Other processed,"Grapes, all",  Fresh.1,  Canning.1,  Juice.1,  Dried (raisins),  Wine,"Bananas, fresh","Oranges, all  ",  Fresh.2,  Juice 2,"Grapefruit, all ",  Fresh.3,  Juice.2,"Lemons, all ",  Fresh.4,  Juice.3,"Other citrus, all 3",  Fresh.5,  Juice.4,"Peaches, all  4 5",  Fresh.6,  Canning.2,  Freezing.1,"Pears, all  5",  Fresh.7,  Canning.3,"Cherries, all",  Fresh.8,  Canning.4,  Freezing.2,Strawberries,  Fresh.9,  Freezing.3,"Pineapples, all",  Fresh.10,  Canning.5,  Juice.5,"Olives, canned ","Avocados, fresh ","Other noncitrus, all",  Fresh 6,  Canning 7,  Freezing 8,  Juice 9,  Dried 10," Subtotal, all 11",   Fresh,   Canning ,   Freezing,   Juice ,   Dried,"Tree nuts, all 12",  Almonds,  Pecans,  Walnuts,  Others 13,"Total, all items*",  Citrus ,  Noncitrus & nuts,  Melons
1976,29.9,17.1,4.3,0.8,6.3,1.1,0.3,40.6,3.5,0.4,2.4,9.6,24.6,19.3,102.1,14.7,87.4,19.7,9.3,10.4,4.3,1.9,2.4,4.9,2.6,2.2,11.2,5.1,5.9,0.2,7.1,2.8,4.3,1.7,0.8,0.2,0.7,2.8,1.7,1.1,10.3,1.1,6.0,3.1,1.0,1.2,7.6,1.9,1.0,0.5,1.4,2.7,263.6,83.1,23.2,3.3,115.7,13.4,1.9,0.4,0.3,0.5,0.7,284.3,131.0,134.6,18.8
1977,31.5,16.5,4.9,0.7,7.9,1.0,0.5,37.9,3.5,0.5,1.9,6.2,25.7,19.2,110.6,13.4,97.1,22.1,7.7,14.4,6.7,2.2,4.5,4.8,2.9,1.9,11.5,5.1,6.1,0.4,6.8,2.4,4.5,1.6,0.6,0.3,0.7,3.0,1.9,1.1,10.9,1.4,6.0,3.6,1.1,1.1,7.5,2.2,0.9,0.5,1.2,2.6,276.3,80.2,24.2,3.3,132.4,9.9,1.7,0.4,0.4,0.5,0.4,297.3,144.1,133.9,19.3
1978,35.9,17.9,5.5,1.0,9.6,1.0,0.8,41.3,3.1,0.5,3.4,5.3,29.1,20.2,91.8,13.4,78.3,24.4,8.3,16.0,7.0,2.2,4.8,4.3,2.3,2.0,11.9,6.1,5.5,0.3,6.1,2.3,3.8,1.4,0.5,0.2,0.7,3.3,2.1,1.2,10.8,1.4,5.7,3.7,1.8,1.3,7.2,2.3,0.9,0.5,1.3,2.3,268.7,83.5,23.9,3.7,119.1,8.6,1.7,0.4,0.4,0.4,0.6,290.5,127.5,142.9,20.1
1979,36.1,17.1,5.9,0.7,10.6,1.1,0.6,42.2,3.4,0.5,2.5,6.7,28.9,21.0,86.1,11.5,74.6,21.4,7.3,14.1,4.6,2.0,2.6,4.3,2.3,2.0,12.5,6.7,5.6,0.3,6.9,2.3,4.6,1.5,0.7,0.2,0.6,3.0,1.9,1.1,12.0,1.5,6.3,4.3,0.9,0.8,6.8,2.2,0.8,0.4,1.2,2.2,260.0,80.7,24.8,3.1,111.9,10.0,1.8,0.4,0.5,0.4,0.5,281.0,116.3,145.5,19.2
1980,39.8,19.2,5.3,0.8,13.0,0.8,0.7,47.2,4.0,0.6,2.7,8.5,31.5,20.8,95.3,14.3,81.0,17.5,7.3,10.2,5.3,1.9,3.4,5.5,2.5,3.0,13.1,7.1,5.7,0.3,7.2,2.6,4.6,1.6,0.7,0.3,0.5,3.2,2.0,1.2,12.1,1.5,6.0,4.6,1.3,2.1,6.7,2.4,0.8,0.4,1.2,1.9,278.5,88.3,24.4,3.3,119.1,11.2,1.8,0.4,0.4,0.5,0.5,298.3,123.6,156.8,18.0
1981,34.6,16.8,4.4,0.7,11.5,0.8,0.4,41.2,4.1,0.4,2.6,6.5,27.6,21.5,95.2,12.4,82.8,19.7,6.7,13.0,8.6,2.0,6.6,4.6,2.4,2.2,11.7,6.9,4.6,0.2,7.2,2.8,4.4,1.3,0.5,0.2,0.5,3.3,2.2,1.2,11.3,1.6,5.5,4.2,0.8,1.6,7.1,2.6,0.6,0.4,1.3,2.3,269.6,83.9,20.8,3.0,124.3,9.6,2.0,0.5,0.4,0.5,0.5,291.0,128.1,143.5,19.4
1982,39.7,17.5,5.4,0.8,14.6,0.9,0.5,51.2,5.7,0.3,2.6,8.7,33.9,22.5,86.7,11.7,75.0,19.4,7.2,12.2,6.8,2.1,4.7,4.5,2.3,2.2,10.0,5.3,4.4,0.3,6.9,2.8,4.1,1.6,0.5,0.3,0.7,3.4,2.4,1.1,11.5,1.7,5.5,4.3,1.4,1.8,6.5,2.0,0.7,0.4,1.0,2.4,273.9,85.7,21.9,3.3,116.6,12.0,2.2,0.6,0.5,0.5,0.7,298.4,117.4,158.7,22.3
1983,41.6,18.3,5.1,0.7,15.8,1.2,0.4,44.6,5.6,0.3,3.7,7.8,27.3,21.3,106.1,15.0,91.0,19.4,7.8,11.5,6.7,2.3,4.4,4.2,2.4,1.8,9.4,5.4,3.6,0.4,6.6,3.0,3.6,1.6,0.7,0.2,0.7,3.4,2.3,1.1,11.4,1.7,5.5,4.2,1.0,2.2,6.8,2.5,0.5,0.3,0.8,2.7,286.3,90.5,20.0,3.2,133.2,11.7,2.3,0.6,0.5,0.5,0.7,308.4,136.3,152.3,19.8
1984,44.3,18.4,5.0,0.9,18.4,1.3,0.4,48.2,6.1,0.3,3.2,8.7,30.0,22.2,92.1,11.9,80.3,12.2,6.0,6.2,5.2,2.2,3.1,3.9,2.3,1.6,11.0,6.7,4.0,0.4,5.7,2.5,3.2,1.7,0.7,0.3,0.7,4.0,3.0,1.1,10.6,1.5,5.0,4.1,1.2,1.8,7.9,3.2,0.6,0.5,0.9,2.8,272.1,88.3,19.6,3.4,117.7,12.7,2.4,0.7,0.5,0.5,0.7,298.7,113.4,161.1,24.1
1985,43.2,17.3,5.3,0.8,18.4,1.2,0.3,50.5,6.8,0.4,2.5,9.4,31.3,23.5,90.0,11.6,78.4,16.6,5.5,11.1,6.2,2.3,3.9,3.6,1.9,1.7,9.9,5.5,3.9,0.5,6.0,2.8,3.2,1.4,0.4,0.3,0.7,4.0,3.0,1.0,12.2,1.5,5.7,5.1,1.3,1.5,7.1,2.8,0.7,0.5,0.9,2.3,277.0,86.4,20.7,3.5,121.9,12.8,2.5,0.8,0.5,0.5,0.7,303.8,116.4,163.1,24.3
1986,43.1,17.8,4.9,1.0,18.2,0.8,0.4,47.6,7.1,0.3,2.4,8.3,29.4,25.8,95.9,13.4,82.4,14.6,6.1,8.5,5.3,2.5,2.8,3.6,2.1,1.5,10.6,5.8,4.2,0.5,6.4,3.0,3.4,1.5,0.5,0.2,0.8,4.0,2.9,1.1,13.7,1.7,6.1,5.9,1.4,2.4,6.9,2.6,0.4,0.6,0.9,2.3,282.8,93.8,21.0,4.1,122.7,11.5,2.3,0.5,0.5,0.5,0.7,310.0,119.4,165.6,24.9
