Year,All,Fresh,Canning,Juice,Dried,Wine,Fresh_prop,Canning_prop,Juice_prop,Dried_prop,Wine_prop
1976,40.6,3.5,0.4,2.4,9.6,24.6,0.08620689655172413,0.009852216748768473,0.059113300492610835,0.23645320197044334,0.6059113300492611
1977,37.9,3.5,0.5,1.9,6.2,25.7,0.09234828496042216,0.013192612137203167,0.05013192612137203,0.16358839050131926,0.6781002638522428
1978,41.3,3.1,0.5,3.4,5.3,29.1,0.07506053268765134,0.012106537530266345,0.08232445520581114,0.12832929782082325,0.7046004842615013
1979,42.2,3.4,0.5,2.5,6.7,28.9,0.08056872037914692,0.011848341232227487,0.059241706161137435,0.15876777251184834,0.6848341232227487
1980,47.2,4.0,0.6,2.7,8.5,31.5,0.0847457627118644,0.01271186440677966,0.057203389830508475,0.18008474576271186,0.6673728813559322
1981,41.2,4.1,0.4,2.6,6.5,27.6,0.0995145631067961,0.009708737864077669,0.06310679611650485,0.15776699029126212,0.6699029126213593
1982,51.2,5.7,0.3,2.6,8.7,33.9,0.111328125,0.005859374999999999,0.05078125,0.16992187499999997,0.6621093749999999
1983,44.6,5.6,0.3,3.7,7.8,27.3,0.12556053811659193,0.0067264573991031385,0.08295964125560538,0.1748878923766816,0.6121076233183856
1984,48.2,6.1,0.3,3.2,8.7,30.0,0.12655601659751037,0.006224066390041493,0.06639004149377593,0.1804979253112033,0.6224066390041494
1985,50.5,6.8,0.4,2.5,9.4,31.3,0.13465346534653466,0.007920792079207921,0.04950495049504951,0.18613861386138614,0.6198019801980198
1986,47.6,7.1,0.3,2.4,8.3,29.4,0.14915966386554622,0.006302521008403361,0.050420168067226885,0.17436974789915968,0.6176470588235293
1987,44.9,7.0,0.3,3.3,8.0,26.2,0.155902004454343,0.0066815144766146995,0.07349665924276169,0.17817371937639198,0.5835189309576837
1988,49.4,7.7,0.3,2.9,10.8,27.6,0.15587044534412955,0.006072874493927126,0.058704453441295545,0.21862348178137653,0.5587044534412956
1989,46.2,7.9,0.3,3.4,8.8,25.8,0.170995670995671,0.006493506493506493,0.07359307359307359,0.1904761904761905,0.5584415584415584
1990,43.2,7.8,0.3,3.1,8.3,23.6,0.18055555555555555,0.006944444444444444,0.07175925925925926,0.19212962962962962,0.5462962962962963
1991,42.9,7.3,0.3,3.9,8.5,23.0,0.17016317016317017,0.006993006993006993,0.09090909090909091,0.19813519813519814,0.5361305361305362
1992,45.4,7.1,0.4,4.2,6.8,26.9,0.15638766519823788,0.00881057268722467,0.09251101321585904,0.14977973568281938,0.592511013215859
1993,44.4,7.0,0.3,3.8,8.5,24.7,0.15765765765765766,0.006756756756756757,0.08558558558558559,0.19144144144144146,0.5563063063063063
1994,40.9,7.0,0.3,3.2,8.1,22.3,0.17114914425427874,0.007334963325183374,0.078239608801956,0.1980440097799511,0.5452322738386308
1995,45.7,7.5,0.3,5.0,8.8,24.2,0.16411378555798686,0.006564551422319475,0.10940919037199125,0.1925601750547046,0.5295404814004376
1996,43.1,6.7,0.3,4.2,7.0,24.9,0.1554524361948956,0.0069605568445475635,0.09744779582366589,0.16241299303944315,0.5777262180974477
1997,52.0,7.8,0.3,4.4,6.9,32.6,0.15,0.005769230769230769,0.08461538461538462,0.1326923076923077,0.6269230769230769
1998,44.5,7.2,0.3,3.0,8.1,25.9,0.16179775280898878,0.006741573033707865,0.06741573033707865,0.18202247191011234,0.5820224719101124
1999,45.7,8.0,0.3,4.8,7.0,25.7,0.175054704595186,0.006564551422319475,0.1050328227571116,0.15317286652078774,0.562363238512035
2000,49.7,7.4,0.2,3.7,7.1,31.2,0.1488933601609658,0.004024144869215292,0.0744466800804829,0.14285714285714285,0.6277665995975855
2001,44.9,7.4,0.2,3.6,6.5,27.2,0.1648106904231626,0.0044543429844098,0.0801781737193764,0.1447661469933185,0.6057906458797327
2002,50.7,8.4,0.2,4.0,7.0,31.0,0.16568047337278105,0.0039447731755424065,0.07889546351084813,0.1380670611439842,0.611439842209073
2003,46.6,7.7,0.2,4.4,6.6,27.8,0.16523605150214593,0.004291845493562232,0.0944206008583691,0.14163090128755362,0.5965665236051502
2004,47.4,7.8,0.2,4.2,6.4,28.9,0.16455696202531644,0.0042194092827004225,0.08860759493670886,0.13502109704641352,0.609704641350211
2005,56.1,8.6,0.2,5.6,7.0,34.7,0.1532976827094474,0.0035650623885918006,0.0998217468805704,0.12477718360071301,0.6185383244206774
2006,49.4,7.6,0.1,4.9,7.4,29.4,0.15384615384615385,0.0020242914979757085,0.09919028340080972,0.14979757085020243,0.5951417004048583
2007,51.8,8.0,0.1,6.2,6.8,30.7,0.15444015444015444,0.0019305019305019308,0.1196911196911197,0.1312741312741313,0.5926640926640927
2008,50.2,8.3,0.2,5.0,6.9,29.9,0.16533864541832669,0.00398406374501992,0.099601593625498,0.13745019920318724,0.595617529880478
2009,52.7,7.7,0.1,4.2,6.3,34.5,0.1461100569259962,0.0018975332068311196,0.07969639468690702,0.11954459203036052,0.6546489563567363
2010,51.8,7.9,0.2,4.1,6.2,33.4,0.15250965250965254,0.0038610038610038615,0.07915057915057915,0.1196911196911197,0.6447876447876448
