Year,All,Fresh,Canning,Juice,Fresh_prop,Canning_prop,Juice_prop
1976,10.3,1.1,6.0,3.1,0.10679611650485438,0.5825242718446602,0.30097087378640774
1977,10.9,1.4,6.0,3.6,0.12844036697247704,0.5504587155963303,0.3302752293577982
1978,10.8,1.4,5.7,3.7,0.12962962962962962,0.5277777777777778,0.34259259259259256
1979,12.0,1.5,6.3,4.3,0.125,0.525,0.35833333333333334
1980,12.1,1.5,6.0,4.6,0.12396694214876033,0.49586776859504134,0.3801652892561983
1981,11.3,1.6,5.5,4.2,0.1415929203539823,0.48672566371681414,0.3716814159292035
1982,11.5,1.7,5.5,4.3,0.14782608695652175,0.4782608695652174,0.3739130434782609
1983,11.4,1.7,5.5,4.2,0.14912280701754385,0.4824561403508772,0.3684210526315789
1984,10.6,1.5,5.0,4.1,0.14150943396226415,0.4716981132075472,0.38679245283018865
1985,12.2,1.5,5.7,5.1,0.12295081967213116,0.4672131147540984,0.4180327868852459
1986,13.7,1.7,6.1,5.9,0.12408759124087591,0.44525547445255476,0.43065693430656937
1987,13.2,1.6,5.2,6.4,0.12121212121212123,0.393939393939394,0.4848484848484849
1988,13.2,1.8,5.1,6.4,0.13636363636363638,0.38636363636363635,0.4848484848484849
1989,14.2,2.0,5.5,6.6,0.14084507042253522,0.38732394366197187,0.4647887323943662
1990,14.7,2.0,5.2,7.5,0.1360544217687075,0.35374149659863946,0.5102040816326531
1991,14.7,1.9,5.3,7.5,0.1292517006802721,0.36054421768707484,0.5102040816326531
1992,15.2,2.0,6.1,7.1,0.13157894736842105,0.4013157894736842,0.46710526315789475
1993,13.8,2.0,5.6,6.2,0.14492753623188406,0.40579710144927533,0.4492753623188406
1994,12.6,2.0,5.4,5.2,0.15873015873015872,0.4285714285714286,0.41269841269841273
1995,12.4,1.9,4.7,5.7,0.15322580645161288,0.3790322580645161,0.4596774193548387
1996,12.3,1.9,4.7,5.7,0.15447154471544713,0.38211382113821135,0.46341463414634143
1997,12.1,2.3,4.6,5.2,0.19008264462809915,0.3801652892561983,0.4297520661157025
1998,10.9,2.8,3.9,4.3,0.2568807339449541,0.35779816513761464,0.39449541284403666
1999,13.1,3.0,5.2,4.9,0.22900763358778625,0.39694656488549623,0.37404580152671757
2000,12.6,3.2,4.8,4.5,0.253968253968254,0.38095238095238093,0.35714285714285715
2001,12.2,3.2,4.4,4.7,0.26229508196721313,0.3606557377049181,0.3852459016393443
2002,13.1,3.8,4.5,4.8,0.2900763358778626,0.3435114503816794,0.366412213740458
2003,14.2,4.4,4.7,5.0,0.3098591549295775,0.33098591549295775,0.35211267605633806
2004,12.9,4.4,4.5,4.0,0.34108527131782945,0.3488372093023256,0.31007751937984496
2005,13.5,4.9,4.8,3.9,0.362962962962963,0.35555555555555557,0.28888888888888886
2006,14.0,5.2,4.8,4.0,0.37142857142857144,0.34285714285714286,0.2857142857142857
2007,12.6,5.0,4.3,3.2,0.39682539682539686,0.3412698412698413,0.253968253968254
2008,13.5,5.1,4.4,4.0,0.37777777777777777,0.32592592592592595,0.2962962962962963
2009,13.3,5.1,4.1,4.0,0.38345864661654133,0.3082706766917293,0.3007518796992481
2010,12.8,5.7,3.9,3.2,0.4453125,0.3046875,0.25
2011,13.1,5.7,4.0,3.4,0.4351145038167939,0.3053435114503817,0.2595419847328244
2012,13.6,6.4,3.9,3.2,0.4705882352941177,0.2867647058823529,0.23529411764705885
2013,13.9,6.7,4.0,3.1,0.48201438848920863,0.28776978417266186,0.22302158273381295
2014,14.0,7.2,3.7,3.2,0.5142857142857143,0.2642857142857143,0.2285714285714286
2015,13.9,7.0,3.9,3.0,0.5035971223021583,0.2805755395683453,0.2158273381294964
2016,14.1,7.3,3.7,3.1,0.5177304964539007,0.26241134751773054,0.2198581560283688
2017,14.4,7.8,3.6,3.0,0.5416666666666666,0.25,0.20833333333333331
2018,13.1,7.8,3.4,1.9,0.5954198473282443,0.2595419847328244,0.1450381679389313
