Year,Total,Fresh,Canning,Freezing,Juice,Dried
1976,263.6,83.1,23.2,3.3,115.7,13.4
1977,276.3,80.2,24.2,3.3,132.4,9.9
1978,268.7,83.5,23.9,3.7,119.1,8.6
1979,260.0,80.7,24.8,3.1,111.9,10.0
1980,278.5,88.3,24.4,3.3,119.1,11.2
1981,269.6,83.9,20.8,3.0,124.3,9.6
1982,273.9,85.7,21.9,3.3,116.6,12.0
1983,286.3,90.5,20.0,3.2,133.2,11.7
1984,272.1,88.3,19.6,3.4,117.7,12.7
1985,277.0,86.4,20.7,3.5,121.9,12.8
1986,282.8,93.8,21.0,4.1,122.7,11.5
1987,287.0,96.8,20.8,4.0,126.9,12.1
1988,277.2,97.4,20.6,4.0,112.3,14.9
1989,279.0,96.3,21.4,4.6,117.5,13.2
1990,261.0,92.2,20.9,4.3,107.6,12.1
1991,267.2,89.4,19.6,4.1,118.5,12.2
1992,270.1,98.7,22.6,4.3,106.3,10.7
1993,282.3,98.5,20.5,4.3,121.5,12.5
1994,280.5,99.7,20.6,4.5,120.2,12.7
1995,271.89,97.1,17.2,4.7,115.7,12.7
1996,281.4,97.5,18.4,4.3,125.0,11.1
1997,290.5,101.7,19.9,4.4,120.7,10.6
1998,290.8,101.8,16.9,4.5,129.2,12.1
1999,284.6,101.2,19.2,4.2,123.8,10.1
2000,290.4,101.3,17.5,4.5,125.2,10.4
2001,279.3,97.5,17.6,4.9,122.1,9.8
2002,278.9,99.5,16.8,4.1,117.0,10.4
2003,280.8,101.4,17.3,5.0,119.1,9.8
2004,282.6,102.7,16.9,4.3,120.1,9.3
2005,279.8,100.0,16.6,5.2,112.7,10.0
2006,271.9,101.4,15.5,5.0,109.7,10.5
2007,266.0,97.1,16.0,5.3,106.7,9.8
2008,260.4,100.3,15.6,4.9,99.1,9.8
2009,262.6,98.1,15.5,4.9,100.1,8.9
2010,262.9,102.5,14.9,5.1,97.0,9.2
2011,263.1,105.2,14.2,4.7,95.4,9.5
2012,259.2,108.7,13.2,4.6,85.0,9.1
2013,269.2,111.8,15.2,4.8,87.5,9.9
2014,262.8,114.0,13.7,5.6,84.1,9.3
2015,262.2,112.5,14.3,5.6,85.3,10.1
2016,265.5,115.4,13.7,5.0,84.7,9.7
2017,263.7,116.7,13.4,4.7,81.0,9.4
2018,250.9,115.1,12.0,4.9,79.9,3.0
