,"Apples, all","Grapes, all","Bananas, fresh","Oranges, all  ","Grapefruit, all ","Lemons, all ","Other citrus, all 3","Peaches, all  4 5","Pears, all  5","Cherries, all",Strawberries,"Pineapples, all","Olives, canned ","Avocados, fresh ","Other noncitrus, all",  Melons
1976,29.9,40.6,19.3,102.1,19.7,4.3,4.9,11.2,7.1,1.7,2.8,10.3,1.0,1.2,7.6,18.8
1977,31.5,37.9,19.2,110.6,22.1,6.7,4.8,11.5,6.8,1.6,3.0,10.9,1.1,1.1,7.5,19.3
1978,35.9,41.3,20.2,91.8,24.4,7.0,4.3,11.9,6.1,1.4,3.3,10.8,1.8,1.3,7.2,20.1
1979,36.1,42.2,21.0,86.1,21.4,4.6,4.3,12.5,6.9,1.5,3.0,12.0,0.9,0.8,6.8,19.2
1980,39.8,47.2,20.8,95.3,17.5,5.3,5.5,13.1,7.2,1.6,3.2,12.1,1.3,2.1,6.7,18.0
1981,34.6,41.2,21.5,95.2,19.7,8.6,4.6,11.7,7.2,1.3,3.3,11.3,0.8,1.6,7.1,19.4
1982,39.7,51.2,22.5,86.7,19.4,6.8,4.5,10.0,6.9,1.6,3.4,11.5,1.4,1.8,6.5,22.3
1983,41.6,44.6,21.3,106.1,19.4,6.7,4.2,9.4,6.6,1.6,3.4,11.4,1.0,2.2,6.8,19.8
1984,44.3,48.2,22.2,92.1,12.2,5.2,3.9,11.0,5.7,1.7,4.0,10.6,1.2,1.8,7.9,24.1
1985,43.2,50.5,23.5,90.0,16.6,6.2,3.6,9.9,6.0,1.4,4.0,12.2,1.3,1.5,7.1,24.3
1986,43.1,47.6,25.8,95.9,14.6,5.3,3.6,10.6,6.4,1.5,4.0,13.7,1.4,2.4,6.9,24.9
1987,48.2,44.9,25.0,90.8,17.9,7.9,4.2,10.3,7.4,2.0,4.3,13.2,1.3,1.6,8.0,24.7
1988,47.3,49.4,24.3,86.3,12.8,5.2,4.1,11.3,6.7,1.6,4.5,13.2,1.2,1.6,7.8,24.0
1989,46.6,46.2,24.7,86.0,16.3,5.2,4.2,10.6,7.0,1.6,4.5,14.2,1.3,1.1,9.4,26.9
1990,47.9,43.2,24.4,67.1,19.2,6.2,3.7,9.8,7.1,1.6,4.4,14.7,1.3,1.4,9.1,24.8
1991,43.6,42.9,25.0,81.9,14.4,6.1,3.6,10.9,6.6,1.3,4.8,14.7,0.8,1.4,9.1,23.6
1992,46.5,45.4,27.1,76.0,12.5,5.7,4.4,10.8,6.8,1.5,4.8,15.2,1.6,2.2,9.7,25.6
