Year,Watermelon,Cantaloupe,Honeydew,Others,Total melons,Watermelon_prop,Cantaloupe_prop,Honeydew_prop,Others_prop
1970,13.5,7.2,0.9,0.0,21.6,0.625,0.3333333333333333,0.041666666666666664,0.0
1971,13.04,6.64,0.93,0.0,20.61,0.6327025715672003,0.3221737020863658,0.04512372634643377,0.0
1972,12.31,6.77,1.04,0.0,20.12,0.6118290258449304,0.33648111332007946,0.05168986083499006,0.0
1973,12.74,5.88,1.11,0.0,19.73,0.6457171819564116,0.29802331474911303,0.05625950329447542,0.0
1974,11.32,5.14,1.01,0.0,17.47,0.6479679450486548,0.29421866056096163,0.05781339439038352,0.0
1975,11.44,5.05,1.06,0.0,17.55,0.6518518518518518,0.2877492877492877,0.0603988603988604,0.0
1976,12.63,5.05,1.02,0.07,18.77,0.6728822589238147,0.2690463505594033,0.05434203516249334,0.003729355354288759
1977,12.62,5.52,1.13,0.08,19.35,0.6521963824289405,0.2852713178294573,0.058397932816537455,0.004134366925064599
1978,11.89,6.58,1.6,0.11,20.18,0.589197224975223,0.3260654112983152,0.07928642220019823,0.005450941526263627
1979,11.4,6.12,1.59,0.13,19.24,0.5925155925155926,0.3180873180873181,0.08264033264033264,0.006756756756756757
1980,10.65,5.85,1.4,0.08,17.98,0.5923248053392659,0.32536151279199105,0.07786429365962179,0.004449388209121246
1981,11.65,6.12,1.5,0.1,19.37,0.6014455343314403,0.31595250387196694,0.07743933918430562,0.005162622612287042
1982,12.48,7.67,1.8,0.3,22.25,0.5608988764044944,0.3447191011235955,0.08089887640449439,0.01348314606741573
1983,11.31,6.54,1.8,0.21,19.86,0.569486404833837,0.32930513595166166,0.0906344410876133,0.010574018126888218
1984,14.42,7.67,1.8,0.24,24.13,0.5975963530874431,0.31786158309158724,0.07459593866556155,0.009946125155408206
1985,13.5,8.47,2.1,0.22,24.29,0.5557842733635241,0.3487031700288185,0.08645533141210375,0.009057225195553726
1986,12.75,9.43,2.4,0.33,24.91,0.5118426334805299,0.3785628261742272,0.09634684865515857,0.013247691690084305
1987,12.98,9.15,2.2,0.34,24.67,0.526145115524929,0.37089582488852857,0.08917713822456425,0.013781921361978111
1988,13.55,7.86,2.4,0.29,24.1,0.5622406639004149,0.3261410788381743,0.0995850622406639,0.012033195020746887
1989,13.62,10.36,2.49,0.42,26.89,0.5065079955373745,0.3852733358125697,0.09259947936035702,0.015619189289698772
1990,13.28,9.23,2.06,0.2,24.77,0.5361324182478805,0.37262817924909164,0.08316511909568026,0.008074283407347598
1991,12.73,8.64,1.9,0.34,23.61,0.539178314273613,0.3659466327827192,0.08047437526471833,0.014400677678949599
1992,14.7,8.47,2.1,0.27,25.54,0.5755677368833203,0.33163664839467505,0.0822239624119029,0.010571652310101803
1993,14.19,8.61,1.74,0.34,24.88,0.5703376205787781,0.34606109324758844,0.06993569131832798,0.013665594855305468
1994,15.0,8.38,2.0,0.26,25.64,0.5850234009360374,0.32683307332293293,0.078003120124805,0.01014040561622465
1995,15.16,8.97,1.89,0.33,26.35,0.5753320683111954,0.3404174573055029,0.07172675521821631,0.012523719165085389
1996,16.58,10.28,2.04,0.35,29.26,0.5666438824333561,0.3513328776486671,0.06971975393028024,0.011961722488038276
1997,15.49,10.52,2.22,0.55,28.79,0.5380340395970823,0.36540465439388675,0.07711010767627649,0.019103855505383818
1998,14.34,10.64,2.34,0.67,28.0,0.5121428571428571,0.38,0.08357142857142856,0.02392857142857143
1999,15.21,11.38,2.45,0.64,29.68,0.5124663072776281,0.38342318059299196,0.08254716981132076,0.0215633423180593
2000,13.82,11.12,2.26,0.6,27.8,0.49712230215827335,0.39999999999999997,0.08129496402877696,0.021582733812949638
2001,15.01,11.16,1.97,0.51,28.66,0.5237264480111654,0.38939288206559663,0.06873691556175855,0.017794836008374042
2002,14.04,11.1,2.19,0.55,27.88,0.503586800573888,0.3981348637015782,0.07855093256814921,0.019727403156384507
2003,13.54,10.79,2.18,0.56,27.08,0.5,0.3984490398818316,0.08050221565731168,0.020679468242245203
2004,12.99,9.81,2.05,0.53,25.38,0.5118203309692672,0.3865248226950355,0.08077226162332544,0.02088258471237195
2005,13.55,9.58,1.87,0.56,25.55,0.5303326810176126,0.3749510763209393,0.07318982387475538,0.021917808219178082
2006,15.12,9.25,1.88,0.6,26.85,0.5631284916201117,0.3445065176908752,0.07001862197392923,0.022346368715083796
2007,14.41,9.58,1.83,0.62,26.44,0.5450075642965204,0.36232980332829046,0.06921331316187594,0.023449319213313162
2008,15.56,8.87,1.68,0.54,26.65,0.5838649155722327,0.33283302063789866,0.06303939962476549,0.02026266416510319
2009,14.92,9.05,1.62,0.55,26.13,0.5709911978568695,0.3463451970914658,0.061997703788748575,0.02104860313815538
2010,15.7,8.54,1.67,0.59,26.49,0.5926764816912042,0.3223858059645149,0.06304265760664401,0.022272555681389205
2011,13.83,8.65,1.6,0.58,24.67,0.5605999189298743,0.3506282934738549,0.06485610052695581,0.02351033644102148
2012,13.89,7.52,1.48,0.57,23.46,0.592071611253197,0.3205456095481671,0.06308610400682012,0.024296675191815855
2013,14.48,8.28,1.61,0.62,24.98,0.5796637309847879,0.33146517213771015,0.0644515612489992,0.024819855884707767
2014,13.9,6.6,1.65,0.64,22.79,0.6099166301009215,0.28960070206230804,0.07240017551557701,0.028082492321193506
2015,14.86,6.77,1.69,0.68,24.0,0.6191666666666666,0.2820833333333333,0.07041666666666667,0.028333333333333335
2016,16.54,7.54,1.85,0.55,26.49,0.6243865609664024,0.284635711589279,0.0698376745941865,0.02076255190637977
