Year,Production,Imports,Total supply,Exports,Domestic use,Per capita use
 1980/81,4033.6,18.2,4051.8,1208.5,2843.3,12.36
 1981/82,3709.4,29.4,3738.8,1023.4,2715.4,11.69
 1982/83,4786.7,13.4,4800.1,1276.5,3523.5,15.04
 1983/84,3802.6,38.5,3841.1,1036.7,2804.4,11.87
 1984/85,3808.3,27.5,3835.8,1070.3,2765.5,11.6
 1985/86,4306.2,62.1,4368.3,1135.6,3232.6,13.43
 1986/87,4234.8,44.4,4279.2,1168.1,3111.1,12.81
 1987/88,4286.3,49.6,4335.9,929.9,3406.0,13.9
 1988/89,4110.2,17.2,4127.4,1117.8,3009.6,12.17
 1989/90,4218.5,26.3,4244.8,1152.2,3092.6,12.37
 1990/91,2513.5,137.3,2650.7,514.3,2136.5,8.43
 1991/92,4354.0,34.5,4388.5,1091.8,3296.7,12.84
 1992/93,4882.0,22.8,4904.8,1226.5,3678.3,14.15
 1993/94,4578.0,35.8,4613.8,1208.2,3405.6,12.94
 1994/95,4452.0,45.2,4497.2,1347.2,3150.0,11.83
 1995/96,4460.0,51.1,4511.1,1120.8,3390.3,12.58
 1996/97 ,5054.0,65.8,5119.8,1324.8,3795.0,13.91
 1997/98 ,5366.0,88.2,5454.2,1422.0,4032.1,14.61
 1998/99    ,2654.0,225.7,2879.7,541.4,2338.3,8.38
 1999/2000 ,4332.0,101.5,4433.5,1119.0,3314.5,11.74
 2000/01 ,4518.0,120.2,4638.2,1248.6,3389.7,11.88
 2001/02,4353.6,131.9,4485.5,1101.9,3383.6,11.74
 2002/03,4762.4,120.8,4883.2,1423.7,3459.5,11.9
 2003/04,4385.6,140.1,4525.7,1355.4,3170.3,10.8
 2004/05,4504.6,156.8,4661.3,1276.3,3385.0,11.43
 2005/06,4102.7,158.2,4261.0,1198.1,3062.9,10.24
 2006/07,2754.4,256.5,3010.9,757.8,2253.1,7.46
 2007/08,4207.4,169.6,4377.0,1350.9,3026.1,9.93
 2008/09,3673.7,198.1,3871.8,1086.7,2785.1,9.06
 2009/10,4242.9,233.4,4476.3,1477.0,2999.3,9.68
 2010/11,4540.8,224.0,4764.8,1655.4,3109.4,9.97
 2011/12,4558.9,262.6,4821.5,1531.8,3289.8,10.47
 2012/13,4474.9,307.3,4782.1,1495.4,3286.7,10.39
 2013/14,3790.6,315.4,4106.0,1116.5,2989.4,9.38
 2014/15 ,3593.0,341.7,3934.7,1150.7,2784.0,8.67
 2015/16 ,4054.2,361.7,4415.8,1449.4,2966.4,9.18
 2016/17 ,3560.6,402.5,3963.1,1350.0,2613.0,8.03
 2017/18 ,3319.0,488.7,3807.6,1126.4,2681.2,8.19
 2018/19 P,3307.8,401.1,3708.9,1025.1,2683.7,8.15
