"Table 28--U.S. kale, all uses:  supply, availability, & price, farm weight.1",,,,,,,,
, -------------------- Supply  --------------------,,, ---------------- Availability ----------------,,, -- Season Average Price  --,
Year ,Production1 ,Imports2,Total Supply ,Exports,Domestic Availability ,Per Capita Availability,Current Dollars3,Constant 2012 Dollars4
, —————————— Million pounds ———————————— ,,,,, — Pounds —,       ———— $/cwt ———,
1997,110.6,5.0,115.6,        --,115.6,0.42,36.41,48.91
1998,106.6,5.0,111.6,        --,111.6,0.40,43.97,58.41
1999,102.6,5.0,107.6,        --,107.6,0.39,30.35,39.74
2000,98.6,10.0,108.6,        --,108.6,0.38,29.35,37.59
2001,94.7,10.0,104.7,        --,104.7,0.37,33.55,42.05
2002,90.7,8.9,99.6,        --,99.6,0.35,35.65,43.98
2003,80.2,9.7,89.9,        --,89.9,0.31,37.81,45.80
2004,85.9,8.5,94.4,        --,94.4,0.32,37.92,44.73
2005,96.7,7.3,104.1,        --,104.1,0.35,35.77,40.92
2006,88.0,6.1,94.1,        --,94.1,0.31,36.77,40.82
2007,93.5,8.3,101.8,        --,101.8,0.34,37.23,40.25
2008,107.5,6.7,114.2,        --,114.2,0.37,37.14,39.39
2009,120.6,4.2,124.8,        --,124.8,0.41,38.79,40.83
2010,137.2,4.3,141.5,        --,141.5,0.46,37.23,38.74
2011,155.8,4.4,160.1,        --,160.1,0.51,43.62,44.45
2012,140.5,5.4,145.9,        --,145.9,0.46,68.90,68.90
2013,169.9,6.6,176.5,        --,176.5,0.56,61.96,60.89
2014,155.1,9.1,164.2,        --,164.2,0.52,60.15,58.02
2015,176.3,10.2,186.5,        --,186.5,0.58,65.37,62.38
2016,162.3,10.4,172.7,        --,172.7,0.53,70.69,66.73
2017,324.9,10.8,335.7,        --,335.7,1.03,65.40,60.59
2018,331.8,11.9,343.7,        --,343.7,1.05,67.15,60.84
2019,348.3,11.1,359.4,        --,359.4,1.09,67.75,60.02
