Crop,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Asparagus, all ",1.33,1.28,1.27,1.29,1.10,1.20,1.22,0.99,0.85,0.74,0.79,0.80,0.72,0.84,0.81,0.86,0.99,0.95,1.04,0.95,1.01,0.97,0.99,0.91,0.94,0.90,0.91,0.94,0.98,1.12,1.25,1.20,1.24,1.34,1.40,1.37,1.41,1.40,1.48,1.52,1.58,1.65,1.68,1.63,1.82,1.64,1.80,1.82,1.90,1.91
"Asparagus, fresh",0.44,0.38,0.40,0.40,0.39,0.41,0.43,0.34,0.29,0.25,0.29,0.31,0.38,0.43,0.41,0.47,0.60,0.57,0.58,0.57,0.59,0.60,0.60,0.57,0.56,0.56,0.58,0.66,0.73,0.89,0.96,0.92,0.96,1.04,1.12,1.12,1.13,1.16,1.18,1.29,1.37,1.38,1.45,1.42,1.65,1.46,1.56,1.62,1.76,1.75
"Asparagus, canning",0.59,0.63,0.61,0.64,0.53,0.58,0.53,0.45,0.38,0.32,0.36,0.38,0.28,0.30,0.32,0.29,0.29,0.26,0.33,0.30,0.30,0.28,0.29,0.28,0.25,0.26,0.24,0.19,0.19,0.21,0.22,0.22,0.20,0.23,0.20,0.19,0.17,0.14,0.21,0.16,0.11,0.13,0.13,0.11,0.07,0.06,0.08,0.07,0.06,0.06
"Asparagus, freezing ",0.29,0.27,0.25,0.25,0.18,0.21,0.26,0.21,0.18,0.17,0.13,0.11,0.06,0.11,0.09,0.11,0.09,0.12,0.12,0.08,0.12,0.09,0.11,0.06,0.13,0.08,0.09,0.09,0.06,0.02,0.08,0.07,0.08,0.07,0.07,0.06,0.10,0.09,0.09,0.07,0.11,0.13,0.09,0.11,0.10,0.12,0.16,0.14,0.09,0.10
"Snap /Green beans, all",7.61,7.46,7.49,8.01,7.70,7.03,7.83,7.52,7.48,7.45,7.23,7.56,6.99,6.78,6.83,6.89,6.63,6.65,6.69,7.07,6.70,6.99,7.16,7.21,7.27,6.83,7.20,6.74,7.34,7.53,7.86,7.83,7.21,7.51,7.56,7.60,7.92,7.81,7.38,7.00,7.54,6.44,6.47,6.59,6.02,6.44,6.88,6.57,6.34,6.60
"Snap /Green beans,fresh ",1.55,1.51,1.53,1.43,1.36,1.45,1.45,1.34,1.29,1.31,1.31,1.26,1.26,1.24,1.34,1.26,1.26,1.22,1.19,1.19,1.07,1.12,1.45,1.52,1.54,1.64,1.45,1.35,1.64,1.90,2.02,2.17,2.09,1.97,1.88,1.80,2.08,2.20,1.98,1.75,1.88,1.73,1.63,1.62,1.47,1.59,1.70,1.55,1.63,1.78
"Snap /Green beans, canning",4.67,4.56,4.62,4.90,4.87,4.45,4.88,4.82,4.82,4.74,4.55,4.64,4.20,4.06,3.67,3.76,3.86,3.76,3.78,3.87,3.69,4.05,3.98,3.96,3.80,3.53,3.85,3.64,3.75,3.67,4.01,3.78,3.36,3.68,3.73,4.00,3.94,3.51,3.33,3.63,3.68,3.17,2.94,2.87,2.78,2.95,3.19,3.12,2.86,2.90
"Snap /Green beans, freezing  ",1.39,1.39,1.35,1.68,1.47,1.14,1.50,1.36,1.37,1.40,1.36,1.67,1.54,1.48,1.82,1.87,1.52,1.68,1.72,2.01,1.94,1.82,1.74,1.74,1.93,1.67,1.91,1.75,1.95,1.97,1.83,1.88,1.76,1.86,1.94,1.80,1.90,2.10,2.07,1.87,1.98,1.55,1.90,2.10,1.76,1.90,1.99,1.90,1.85,1.92
"Broccoli, all ",1.50,1.62,1.63,1.77,1.78,2.00,2.20,2.32,2.40,2.59,2.86,3.22,3.50,3.60,4.20,4.54,4.83,5.30,6.19,5.97,5.60,5.29,5.80,5.60,6.74,6.86,7.03,7.25,7.12,8.27,8.14,7.44,7.45,7.94,7.98,8.05,8.01,8.31,8.73,8.71,8.42,8.61,8.87,9.42,9.24,10.00,10.09,9.48,8.43,8.79
"Broccoli, fresh ",0.53,0.72,0.70,0.76,0.79,0.99,1.08,1.23,0.99,1.20,1.40,1.66,1.99,2.03,2.46,2.58,3.05,3.09,3.77,3.80,3.37,3.04,3.42,3.33,4.43,4.31,4.52,4.97,5.04,6.16,5.89,5.40,5.35,5.35,5.31,5.34,5.76,5.64,6.03,6.21,5.96,5.95,6.31,6.94,6.65,7.41,7.46,7.12,5.93,6.14
"Broccoli, freezing ",0.97,0.90,0.93,1.01,1.00,1.01,1.12,1.09,1.42,1.39,1.46,1.56,1.52,1.57,1.74,1.96,1.78,2.22,2.42,2.17,2.23,2.25,2.38,2.27,2.31,2.55,2.52,2.28,2.08,2.11,2.25,2.04,2.10,2.59,2.67,2.71,2.25,2.68,2.70,2.50,2.45,2.66,2.56,2.48,2.59,2.59,2.64,2.37,2.50,2.64
"Cabbage, all ",10.98,11.29,10.56,10.99,11.09,10.97,10.58,10.47,10.64,10.11,9.98,10.18,10.25,10.28,10.27,10.33,10.19,10.69,10.44,9.89,9.53,9.64,9.81,10.68,10.31,9.50,9.25,10.45,9.81,8.79,10.27,10.09,9.47,8.49,9.13,8.97,8.96,8.96,8.99,8.20,8.47,7.59,7.42,7.93,7.64,7.20,6.95,7.51,6.45,7.12
"Cabbage, fresh ",8.67,8.82,8.37,8.86,8.83,8.91,8.36,8.28,8.55,8.05,8.00,8.15,8.56,8.21,8.57,8.74,8.64,9.08,9.01,8.60,8.34,8.20,8.66,9.32,9.08,8.12,8.26,9.01,8.43,7.55,8.90,8.83,8.30,7.40,8.04,7.76,7.75,7.95,8.05,7.25,7.47,6.57,6.27,6.94,6.70,6.29,5.91,6.20,5.68,6.46
"Cabbage, canning ",2.30,2.47,2.19,2.13,2.27,2.05,2.22,2.19,2.09,2.06,1.99,2.03,1.70,2.08,1.70,1.59,1.55,1.61,1.43,1.28,1.19,1.44,1.15,1.35,1.23,1.37,0.99,1.44,1.38,1.24,1.37,1.26,1.18,1.09,1.08,1.21,1.21,1.01,0.94,0.95,1.00,1.02,1.15,0.99,0.95,0.91,1.04,1.31,0.77,0.66
"Carrots, all ",9.51,9.48,10.42,10.74,10.70,9.95,9.95,8.97,8.68,9.58,9.62,9.56,9.54,9.54,10.66,9.66,9.47,11.44,10.45,11.47,11.76,11.28,12.32,14.68,16.91,15.40,16.92,18.16,13.74,13.07,12.99,12.74,11.52,11.90,11.77,11.77,11.14,10.48,10.56,9.78,9.99,9.90,9.94,10.47,10.41,10.85,10.79,10.90,15.58,16.61
"Carrots, fresh ",5.97,6.12,6.54,6.70,6.91,6.44,6.41,5.31,5.31,5.89,6.15,6.12,6.60,6.49,6.68,6.49,6.48,8.30,7.09,8.09,8.29,7.71,8.29,10.85,12.68,11.19,12.37,14.11,9.53,9.25,9.20,9.38,8.42,8.78,8.72,8.66,8.11,8.05,8.07,7.39,7.77,7.51,7.96,8.02,8.49,8.80,7.82,7.36,12.20,13.61
"Carrots, canning ",2.14,2.02,2.43,2.27,2.01,1.91,1.90,1.89,1.59,1.81,1.79,1.56,1.20,1.25,1.90,1.40,1.19,1.04,1.07,0.91,1.19,1.15,1.73,1.05,1.44,1.63,1.72,1.48,1.45,1.38,1.06,1.12,1.00,1.10,1.06,1.12,0.97,0.92,0.96,0.87,0.75,0.81,0.78,0.79,0.72,0.69,1.06,1.12,1.03,1.24
"Carrots, freezing ",1.40,1.34,1.45,1.77,1.78,1.60,1.64,1.77,1.77,1.88,1.69,1.89,1.75,1.80,2.08,1.77,1.79,2.10,2.29,2.47,2.28,2.42,2.31,2.79,2.79,2.58,2.83,2.57,2.76,2.44,2.73,2.23,2.10,2.03,1.99,1.98,2.07,1.51,1.54,1.52,1.47,1.57,1.21,1.66,1.20,1.36,1.90,2.43,2.35,1.76
"Cauliflower, all ",1.24,1.31,1.37,1.35,1.45,1.51,1.64,1.75,1.55,1.76,1.92,2.28,2.22,2.26,2.77,2.77,3.11,3.08,3.14,3.06,2.95,2.53,2.46,2.78,2.61,2.24,2.20,2.20,2.23,2.27,2.30,2.02,1.73,1.92,1.94,2.12,2.06,2.04,2.01,2.09,1.71,1.69,1.52,1.67,1.65,1.92,2.07,2.90,3.09,3.69
"Cauliflower, fresh ",0.74,0.69,0.83,0.76,0.79,0.92,1.03,1.09,0.79,1.09,1.13,1.37,1.33,1.41,1.82,1.84,2.19,2.13,2.19,2.31,2.19,1.95,1.81,2.09,2.02,1.64,1.72,1.77,1.46,1.76,1.74,1.52,1.43,1.56,1.56,1.75,1.70,1.68,1.57,1.73,1.34,1.25,1.18,1.33,1.29,1.58,1.66,2.37,2.50,3.02
"Cauliflower, freezing ",0.50,0.62,0.54,0.59,0.66,0.59,0.61,0.67,0.76,0.67,0.78,0.91,0.89,0.85,0.95,0.93,0.93,0.95,0.94,0.75,0.76,0.58,0.66,0.69,0.59,0.61,0.48,0.44,0.77,0.50,0.56,0.50,0.30,0.36,0.38,0.36,0.36,0.36,0.44,0.36,0.37,0.44,0.34,0.34,0.36,0.34,0.41,0.53,0.58,0.68
"Celery, all",7.27,7.27,7.13,7.56,7.35,6.94,7.36,7.05,7.07,7.07,7.37,7.27,7.41,7.00,7.12,6.88,6.49,6.59,7.15,7.47,7.19,6.73,7.32,7.26,7.24,6.93,7.03,6.55,6.47,6.53,6.27,6.41,6.30,6.27,6.23,5.92,6.08,6.29,6.22,6.17,6.14,5.99,5.96,5.48,5.55,5.15,5.04,4.74,4.89,5.34
"Sweet corn, all",27.79,27.71,28.07,28.31,27.05,26.04,26.80,28.92,26.28,25.99,25.93,24.65,23.37,24.42,24.64,26.21,25.71,24.73,24.92,24.43,26.29,26.33,27.66,27.77,27.33,28.56,29.04,27.50,28.34,28.24,27.09,27.16,26.14,26.50,26.24,26.68,26.11,26.05,25.13,25.84,24.68,23.77,24.35,21.68,21.10,21.98,19.57,20.33,19.90,18.89
"Sweet corn, fresh ",7.78,7.46,7.77,7.91,7.73,7.77,8.01,7.56,6.59,6.48,6.50,6.23,6.02,6.14,6.44,6.41,6.06,6.26,5.82,6.53,6.74,5.91,6.87,6.98,8.15,7.82,8.33,8.29,9.33,9.09,9.04,9.17,8.97,9.17,8.96,8.65,8.33,9.22,9.14,9.17,9.26,8.18,8.69,8.88,7.65,8.62,7.10,7.22,6.80,6.77
"Sweet corn, canning ",14.26,14.79,14.98,14.48,13.52,12.04,13.09,14.12,13.36,12.66,13.04,12.14,11.59,11.62,10.22,11.89,12.09,10.63,10.39,9.54,10.95,11.07,11.85,11.08,10.07,10.40,10.36,9.15,9.19,9.07,8.98,8.70,7.84,8.33,8.21,8.58,8.35,6.85,6.74,7.60,6.86,5.83,5.86,5.77,5.77,5.34,5.02,5.05,5.18,5.27
"Sweet corn, freezing ",5.75,5.47,5.33,5.92,5.79,6.23,5.70,7.24,6.32,6.85,6.39,6.28,5.76,6.65,7.99,7.90,7.56,7.84,8.71,8.36,8.60,9.35,8.94,9.72,9.10,10.34,10.35,10.06,9.82,10.08,9.07,9.28,9.33,9.00,9.07,9.45,9.44,9.98,9.25,9.06,8.56,9.77,9.80,7.03,7.68,8.02,7.45,8.06,7.92,6.85
"Cucumbers, all ",8.48,8.32,8.38,8.40,8.70,8.92,9.21,9.27,9.86,9.68,9.26,9.34,9.29,9.69,9.88,10.22,9.95,10.60,10.10,9.97,9.67,9.61,9.47,9.54,10.14,10.65,10.01,11.66,10.50,10.93,11.24,10.00,12.03,10.60,11.31,10.04,9.13,10.16,9.93,11.86,10.49,9.22,10.11,10.55,11.31,10.98,11.12,11.09,11.32,11.42
"Cucumbers, fresh ",2.82,2.79,2.97,2.75,2.96,2.80,3.08,3.50,3.81,3.83,3.86,4.00,4.19,4.54,4.65,4.39,4.62,5.07,4.82,4.78,4.67,4.56,4.93,5.21,5.36,5.61,5.93,6.42,6.49,6.73,6.35,6.27,6.62,6.16,6.43,6.19,6.14,6.42,6.39,6.80,6.74,6.39,7.13,7.33,7.44,7.57,8.12,7.43,7.99,8.01
"Cucumbers, pickling ",5.66,5.53,5.41,5.66,5.74,6.12,6.13,5.78,6.05,5.85,5.40,5.34,5.11,5.16,5.23,5.83,5.33,5.54,5.28,5.19,4.99,5.06,4.55,4.33,4.78,5.05,4.08,5.24,4.01,4.20,4.89,3.73,5.40,4.44,4.88,3.84,2.99,3.73,3.54,5.06,3.75,2.83,2.98,3.22,3.88,3.42,2.99,3.66,3.33,3.41
"Melons, all",21.60,20.61,20.12,19.73,17.47,17.55,18.77,19.35,20.18,19.24,17.98,19.37,22.25,19.86,24.13,24.29,24.91,24.67,24.10,26.89,24.77,23.61,25.54,24.88,25.64,26.35,29.25,28.78,27.99,29.68,27.80,28.65,27.88,27.07,25.38,25.56,26.85,26.44,26.68,26.19,26.35,25.47,---,---,---,---,---,---,---,---
